items	num_genomes_gene_cluster_has_hits	num_genes_in_gene_cluster	max_num_paralogs
GC_00000083	24	41	2
GC_00000084	24	41	2
GC_00000085	24	41	2
GC_00000086	24	41	4
GC_00000087	24	40	3
GC_00000088	24	40	2
GC_00000089	3	40	38
GC_00000090	24	37	3
GC_00000091	21	37	4
GC_00000092	12	36	5
GC_00000093	20	36	4
GC_00000094	24	35	2
GC_00000095	15	35	5
GC_00000096	24	34	3
GC_00000097	22	34	3
GC_00000098	23	34	2
GC_00000099	24	34	2
GC_00000100	24	33	3
GC_00000101	24	33	2
GC_00000102	19	32	5
GC_00000103	24	32	3
GC_00000104	24	31	2
GC_00000105	24	31	2
GC_00000106	24	31	2
GC_00000107	10	31	6
GC_00000108	15	31	8
GC_00000109	23	31	3
GC_00000110	24	30	2
GC_00000111	24	30	2
GC_00000112	24	30	2
GC_00000113	19	30	3
GC_00000114	13	30	5
GC_00000115	24	30	2
GC_00000116	24	29	2
GC_00000117	22	29	2
GC_00000118	24	29	3
GC_00000119	24	29	2
GC_00000120	24	29	3
GC_00000121	24	29	2
GC_00000122	16	29	3
GC_00000123	24	29	2
GC_00000124	24	29	3
GC_00000125	24	29	2
GC_00000126	16	29	3
GC_00000127	24	29	2
GC_00000128	24	29	2
GC_00000129	24	28	2
GC_00000130	24	28	2
GC_00000131	24	28	2
GC_00000132	24	28	3
GC_00000133	12	28	5
GC_00000134	24	28	2
GC_00000135	24	28	2
GC_00000136	16	28	4
GC_00000137	24	28	2
GC_00000138	24	28	2
GC_00000139	24	28	3
GC_00000140	23	28	3
GC_00000141	24	27	2
GC_00000142	24	27	2
GC_00000143	24	27	2
GC_00000144	24	27	2
GC_00000145	24	27	2
GC_00000146	24	27	2
GC_00000147	24	27	3
GC_00000148	24	27	2
GC_00000149	24	27	2
GC_00000150	24	27	2
GC_00000151	24	27	2
GC_00000152	23	27	2
GC_00000153	12	27	3
GC_00000154	20	27	5
GC_00000155	24	27	2
GC_00000156	24	27	2
GC_00000157	24	27	2
GC_00000158	24	27	2
GC_00000159	24	27	2
GC_00000160	24	27	3
GC_00000161	24	27	2
GC_00000162	24	27	2
GC_00000163	24	27	2
GC_00000164	24	27	2
GC_00000165	24	27	2
GC_00000166	24	27	2
GC_00000167	24	27	3
GC_00000168	24	27	3
GC_00000169	24	26	2
GC_00000170	24	26	2
GC_00000171	24	26	2
GC_00000172	24	26	2
GC_00000173	24	26	3
GC_00000174	24	26	2
GC_00000175	24	26	2
GC_00000176	24	26	2
GC_00000177	24	26	2
GC_00000178	24	26	2
GC_00000179	24	26	3
GC_00000180	24	26	2
GC_00000181	24	26	3
GC_00000182	16	26	3
GC_00000183	24	26	2
GC_00000184	24	26	2
GC_00000185	24	26	2
GC_00000186	24	26	2
GC_00000187	24	26	2
GC_00000188	24	26	2
GC_00000189	24	26	2
GC_00000190	24	26	2
GC_00000191	24	26	3
GC_00000192	24	26	2
GC_00000193	24	26	2
GC_00000194	24	26	2
GC_00000195	24	26	3
GC_00000196	24	26	2
GC_00000197	24	26	2
GC_00000198	24	26	2
GC_00000199	24	26	2
GC_00000200	24	26	2
GC_00000201	24	26	3
GC_00000202	24	26	2
GC_00000203	24	26	2
GC_00000204	24	26	2
GC_00000205	24	26	2
GC_00000206	24	26	2
GC_00000207	24	26	2
GC_00000208	24	26	3
GC_00000209	24	26	2
GC_00000210	24	26	2
GC_00000211	24	26	2
GC_00000212	24	26	2
GC_00000213	24	26	2
GC_00000214	24	26	2
GC_00000215	24	26	2
GC_00000216	23	26	2
GC_00000217	24	26	2
GC_00000218	24	26	2
GC_00000219	24	26	2
GC_00000220	24	26	3
GC_00000221	24	26	2
GC_00000222	24	26	2
GC_00000223	24	26	2
GC_00000224	24	26	2
GC_00000225	24	26	3
GC_00000226	24	26	2
GC_00000227	24	26	2
GC_00000228	24	26	2
GC_00000229	22	26	2
GC_00000230	24	26	2
GC_00000231	24	26	2
GC_00000232	24	26	2
GC_00000233	24	26	2
GC_00000234	24	26	3
GC_00000235	24	26	2
GC_00000236	24	26	2
GC_00000237	24	26	2
GC_00000238	24	26	2
GC_00000239	24	26	2
GC_00000240	24	26	2
GC_00000241	24	26	2
GC_00000242	24	26	2
GC_00000243	24	25	2
GC_00000244	24	25	2
GC_00000245	24	25	2
GC_00000246	24	25	2
GC_00000247	24	25	2
GC_00000248	24	25	2
GC_00000249	24	25	2
GC_00000250	24	25	2
GC_00000251	24	25	2
GC_00000252	24	25	2
GC_00000253	24	25	2
GC_00000254	24	25	2
GC_00000255	24	25	2
GC_00000256	24	25	2
GC_00000257	24	25	2
GC_00000258	24	25	2
GC_00000259	24	25	2
GC_00000260	24	25	2
GC_00000261	24	25	2
GC_00000262	24	25	2
GC_00000263	24	25	2
GC_00000264	24	25	2
GC_00000265	24	25	2
GC_00000266	24	25	2
GC_00000267	24	25	2
GC_00000268	24	25	2
GC_00000269	24	25	2
GC_00000270	24	25	2
GC_00000271	24	25	2
GC_00000272	24	25	2
GC_00000273	24	25	2
GC_00000274	24	25	2
GC_00000275	24	25	2
GC_00000276	24	25	2
GC_00000277	24	25	2
GC_00000278	24	25	2
GC_00000279	24	25	2
GC_00000280	24	25	2
GC_00000281	24	25	2
GC_00000282	24	25	2
GC_00000283	24	25	2
GC_00000284	24	25	2
GC_00000285	24	25	2
GC_00000286	24	25	2
GC_00000287	24	25	2
GC_00000288	24	25	2
GC_00000289	24	25	2
GC_00000290	24	25	2
GC_00000291	24	25	2
GC_00000292	24	25	2
GC_00000293	24	25	2
GC_00000294	24	25	2
GC_00000295	24	25	2
GC_00000296	24	25	2
GC_00000297	24	25	2
GC_00000298	24	25	2
GC_00000299	24	25	2
GC_00000300	24	25	2
GC_00000301	24	25	2
GC_00000302	24	25	2
GC_00000303	24	25	2
GC_00000304	24	25	2
GC_00000305	24	25	2
GC_00000306	24	25	2
GC_00000307	24	25	2
GC_00000308	24	25	2
GC_00000309	24	25	2
GC_00000310	24	25	2
GC_00000311	24	25	2
GC_00000312	24	25	2
GC_00000313	24	25	2
GC_00000314	24	25	2
GC_00000315	24	25	2
GC_00000316	24	25	2
GC_00000317	24	25	2
GC_00000318	24	25	2
GC_00000319	24	25	2
GC_00000320	24	25	2
GC_00000321	21	25	2
GC_00000322	24	25	2
GC_00000323	24	25	2
GC_00000324	24	25	2
GC_00000325	24	25	2
GC_00000326	24	25	2
GC_00000327	24	25	2
GC_00000328	24	25	2
GC_00000329	24	25	2
GC_00000330	24	25	2
GC_00000331	24	25	2
GC_00000332	24	25	2
GC_00000333	24	25	2
GC_00000334	24	25	2
GC_00000335	24	25	2
GC_00000336	24	25	2
GC_00000337	24	25	2
GC_00000338	24	25	2
GC_00000339	24	25	2
GC_00000340	24	25	2
GC_00000341	24	25	2
GC_00000342	24	25	2
GC_00000343	24	25	2
GC_00000344	24	25	2
GC_00000345	24	25	2
GC_00000346	24	25	2
GC_00000347	24	25	2
GC_00000348	24	25	2
GC_00000349	24	25	2
GC_00000350	24	25	2
GC_00000351	24	25	2
GC_00000352	16	25	3
GC_00000353	24	25	2
GC_00000354	24	25	2
GC_00000355	24	25	2
GC_00000356	24	25	2
GC_00000357	24	25	2
GC_00000358	24	25	2
GC_00000359	24	25	2
GC_00000360	24	25	2
GC_00000361	24	25	2
GC_00000362	24	25	2
GC_00000363	24	25	2
GC_00000364	24	25	2
GC_00000365	24	25	2
GC_00000366	24	25	2
GC_00000367	24	25	2
GC_00000368	24	25	2
GC_00000369	24	25	2
GC_00000370	24	25	2
GC_00000371	24	25	2
GC_00000372	24	25	2
GC_00000373	24	25	2
GC_00000374	24	25	2
GC_00000375	24	25	2
GC_00000376	24	25	2
GC_00000377	24	25	2
GC_00000378	7	25	4
GC_00000379	24	25	2
GC_00000380	24	25	2
GC_00000381	24	25	2
GC_00000382	24	25	2
GC_00000383	24	25	2
GC_00000384	24	25	2
GC_00000385	22	25	2
GC_00000386	24	25	2
GC_00000387	24	25	2
GC_00000388	24	25	2
GC_00000389	24	25	2
GC_00000390	24	25	2
GC_00000391	24	25	2
GC_00000392	24	25	2
GC_00000393	23	25	3
GC_00000394	24	25	2
GC_00000395	24	25	2
GC_00000396	24	25	2
GC_00000397	24	25	2
GC_00000398	24	25	2
GC_00000399	23	25	2
GC_00000400	24	25	2
GC_00000401	24	25	2
GC_00000402	24	25	2
GC_00000403	24	25	2
GC_00000404	24	25	2
GC_00000405	24	25	2
GC_00000406	24	25	2
GC_00000407	24	25	2
GC_00000408	24	25	2
GC_00000409	24	25	2
GC_00000410	24	25	2
GC_00000411	24	25	2
GC_00000412	24	25	2
GC_00000413	24	25	2
GC_00000414	24	25	2
GC_00000415	24	25	2
GC_00000416	24	25	2
GC_00000417	24	25	2
GC_00000418	24	25	2
GC_00000419	24	25	2
GC_00000420	24	25	2
GC_00000421	24	25	2
GC_00000422	24	25	2
GC_00000423	24	25	2
GC_00000424	24	25	2
GC_00000425	24	25	2
GC_00000426	24	25	2
GC_00000427	24	25	2
GC_00000428	24	25	2
GC_00000429	24	25	2
GC_00000430	24	25	2
GC_00000431	24	25	2
GC_00000432	24	25	2
GC_00000433	24	25	2
GC_00000434	24	25	2
GC_00000435	24	25	2
GC_00000436	24	25	2
GC_00000437	24	25	2
GC_00000438	24	25	2
GC_00000439	24	25	2
GC_00000440	24	25	2
GC_00000441	24	25	2
GC_00000442	24	25	2
GC_00000443	24	25	2
GC_00000444	24	25	2
GC_00000445	24	25	2
GC_00000446	24	25	2
GC_00000447	24	25	2
GC_00000448	24	25	2
GC_00000449	24	25	2
GC_00000450	24	25	2
GC_00000451	24	25	2
GC_00000452	24	25	2
GC_00000453	24	25	2
GC_00000454	24	25	2
GC_00000455	24	25	2
GC_00000456	24	25	2
GC_00000457	24	25	2
GC_00000458	24	25	2
GC_00000459	24	25	2
GC_00000460	24	25	2
GC_00000461	24	25	2
GC_00000462	24	25	2
GC_00000463	24	25	2
GC_00000464	24	25	2
GC_00000465	24	25	2
GC_00000466	24	25	2
GC_00000467	24	25	2
GC_00000468	24	25	2
GC_00000469	24	25	2
GC_00000470	24	25	2
GC_00000471	24	25	2
GC_00000472	24	25	2
GC_00000473	24	25	2
GC_00000474	24	24	1
GC_00000475	24	24	1
GC_00000476	24	24	1
GC_00000477	24	24	1
GC_00000478	24	24	1
GC_00000479	24	24	1
GC_00000480	24	24	1
GC_00000481	24	24	1
GC_00000482	24	24	1
GC_00000483	24	24	1
GC_00000484	24	24	1
GC_00000485	24	24	1
GC_00000486	24	24	1
GC_00000487	24	24	1
GC_00000488	24	24	1
GC_00000489	24	24	1
GC_00000490	24	24	1
GC_00000491	24	24	1
GC_00000492	24	24	1
GC_00000493	24	24	1
GC_00000494	24	24	1
GC_00000495	24	24	1
GC_00000496	24	24	1
GC_00000497	24	24	1
GC_00000498	24	24	1
GC_00000499	24	24	1
GC_00000500	24	24	1
GC_00000501	24	24	1
GC_00000502	24	24	1
GC_00000503	24	24	1
GC_00000504	24	24	1
GC_00000505	24	24	1
GC_00000506	24	24	1
GC_00000507	24	24	1
GC_00000508	24	24	1
GC_00000509	24	24	1
GC_00000510	24	24	1
GC_00000511	24	24	1
GC_00000512	24	24	1
GC_00000513	24	24	1
GC_00000514	24	24	1
GC_00000515	24	24	1
GC_00000516	24	24	1
GC_00000517	24	24	1
GC_00000518	24	24	1
GC_00000519	24	24	1
GC_00000520	24	24	1
GC_00000521	24	24	1
GC_00000522	24	24	1
GC_00000523	24	24	1
GC_00000524	24	24	1
GC_00000525	24	24	1
GC_00000526	24	24	1
GC_00000527	24	24	1
GC_00000528	24	24	1
GC_00000529	24	24	1
GC_00000530	24	24	1
GC_00000531	24	24	1
GC_00000532	24	24	1
GC_00000533	24	24	1
GC_00000534	24	24	1
GC_00000535	24	24	1
GC_00000536	24	24	1
GC_00000537	24	24	1
GC_00000538	24	24	1
GC_00000539	24	24	1
GC_00000540	24	24	1
GC_00000541	24	24	1
GC_00000542	24	24	1
GC_00000543	24	24	1
GC_00000544	24	24	1
GC_00000545	24	24	1
GC_00000546	24	24	1
GC_00000547	24	24	1
GC_00000548	24	24	1
GC_00000549	24	24	1
GC_00000550	24	24	1
GC_00000551	24	24	1
GC_00000552	24	24	1
GC_00000553	24	24	1
GC_00000554	24	24	1
GC_00000555	24	24	1
GC_00000556	24	24	1
GC_00000557	24	24	1
GC_00000558	24	24	1
GC_00000559	24	24	1
GC_00000560	24	24	1
GC_00000561	24	24	1
GC_00000562	24	24	1
GC_00000563	24	24	1
GC_00000564	24	24	1
GC_00000565	24	24	1
GC_00000566	24	24	1
GC_00000567	24	24	1
GC_00000568	24	24	1
GC_00000569	24	24	1
GC_00000570	24	24	1
GC_00000571	24	24	1
GC_00000572	24	24	1
GC_00000573	24	24	1
GC_00000574	24	24	1
GC_00000575	24	24	1
GC_00000576	24	24	1
GC_00000577	24	24	1
GC_00000578	24	24	1
GC_00000579	24	24	1
GC_00000580	24	24	1
GC_00000581	24	24	1
GC_00000582	24	24	1
GC_00000583	24	24	1
GC_00000584	24	24	1
GC_00000585	24	24	1
GC_00000586	24	24	1
GC_00000587	24	24	1
GC_00000588	24	24	1
GC_00000589	24	24	1
GC_00000590	24	24	1
GC_00000591	24	24	1
GC_00000592	24	24	1
GC_00000593	24	24	1
GC_00000594	24	24	1
GC_00000595	24	24	1
GC_00000596	24	24	1
GC_00000597	24	24	1
GC_00000598	24	24	1
GC_00000599	24	24	1
GC_00000600	24	24	1
GC_00000601	24	24	1
GC_00000602	24	24	1
GC_00000603	24	24	1
GC_00000604	24	24	1
GC_00000605	24	24	1
GC_00000606	24	24	1
GC_00000607	24	24	1
GC_00000608	24	24	1
GC_00000609	24	24	1
GC_00000610	24	24	1
GC_00000611	24	24	1
GC_00000612	24	24	1
GC_00000613	24	24	1
GC_00000614	24	24	1
GC_00000615	24	24	1
GC_00000616	24	24	1
GC_00000617	24	24	1
GC_00000618	24	24	1
GC_00000619	24	24	1
GC_00000620	24	24	1
GC_00000621	24	24	1
GC_00000622	24	24	1
GC_00000623	24	24	1
GC_00000624	24	24	1
GC_00000625	24	24	1
GC_00000626	24	24	1
GC_00000627	24	24	1
GC_00000628	24	24	1
GC_00000629	24	24	1
GC_00000630	24	24	1
GC_00000631	24	24	1
GC_00000632	24	24	1
GC_00000633	24	24	1
GC_00000634	24	24	1
GC_00000635	24	24	1
GC_00000636	24	24	1
GC_00000637	24	24	1
GC_00000638	24	24	1
GC_00000639	24	24	1
GC_00000640	24	24	1
GC_00000641	24	24	1
GC_00000642	24	24	1
GC_00000643	24	24	1
GC_00000644	24	24	1
GC_00000645	24	24	1
GC_00000646	24	24	1
GC_00000647	24	24	1
GC_00000648	24	24	1
GC_00000649	24	24	1
GC_00000650	24	24	1
GC_00000651	24	24	1
GC_00000652	24	24	1
GC_00000653	24	24	1
GC_00000654	24	24	1
GC_00000655	24	24	1
GC_00000656	24	24	1
GC_00000657	24	24	1
GC_00000658	24	24	1
GC_00000659	24	24	1
GC_00000660	24	24	1
GC_00000661	24	24	1
GC_00000662	24	24	1
GC_00000663	24	24	1
GC_00000664	24	24	1
GC_00000665	24	24	1
GC_00000666	24	24	1
GC_00000667	24	24	1
GC_00000668	24	24	1
GC_00000669	24	24	1
GC_00000670	24	24	1
GC_00000671	24	24	1
GC_00000672	24	24	1
GC_00000673	24	24	1
GC_00000674	24	24	1
GC_00000675	24	24	1
GC_00000676	24	24	1
GC_00000677	24	24	1
GC_00000678	24	24	1
GC_00000679	24	24	1
GC_00000680	24	24	1
GC_00000681	24	24	1
GC_00000682	24	24	1
GC_00000683	24	24	1
GC_00000684	24	24	1
GC_00000685	24	24	1
GC_00000686	24	24	1
GC_00000687	24	24	1
GC_00000688	24	24	1
GC_00000689	24	24	1
GC_00000690	24	24	1
GC_00000691	24	24	1
GC_00000692	24	24	1
GC_00000693	24	24	1
GC_00000694	24	24	1
GC_00000695	24	24	1
GC_00000696	24	24	1
GC_00000697	24	24	1
GC_00000698	24	24	1
GC_00000699	24	24	1
GC_00000700	24	24	1
GC_00000701	24	24	1
GC_00000702	24	24	1
GC_00000703	24	24	1
GC_00000704	24	24	1
GC_00000705	24	24	1
GC_00000706	24	24	1
GC_00000707	24	24	1
GC_00000708	24	24	1
GC_00000709	24	24	1
GC_00000710	24	24	1
GC_00000711	24	24	1
GC_00000712	24	24	1
GC_00000713	24	24	1
GC_00000714	24	24	1
GC_00000715	24	24	1
GC_00000716	24	24	1
GC_00000717	24	24	1
GC_00000718	24	24	1
GC_00000719	24	24	1
GC_00000720	24	24	1
GC_00000721	24	24	1
GC_00000722	24	24	1
GC_00000723	24	24	1
GC_00000724	24	24	1
GC_00000725	24	24	1
GC_00000726	24	24	1
GC_00000727	24	24	1
GC_00000728	24	24	1
GC_00000729	24	24	1
GC_00000730	24	24	1
GC_00000731	24	24	1
GC_00000732	24	24	1
GC_00000733	24	24	1
GC_00000734	24	24	1
GC_00000735	24	24	1
GC_00000736	24	24	1
GC_00000737	24	24	1
GC_00000738	24	24	1
GC_00000739	24	24	1
GC_00000740	24	24	1
GC_00000741	24	24	1
GC_00000742	24	24	1
GC_00000743	24	24	1
GC_00000744	24	24	1
GC_00000745	24	24	1
GC_00000746	24	24	1
GC_00000747	24	24	1
GC_00000748	24	24	1
GC_00000749	24	24	1
GC_00000750	24	24	1
GC_00000751	24	24	1
GC_00000752	24	24	1
GC_00000753	24	24	1
GC_00000754	24	24	1
GC_00000755	24	24	1
GC_00000756	24	24	1
GC_00000757	24	24	1
GC_00000758	24	24	1
GC_00000759	24	24	1
GC_00000760	24	24	1
GC_00000761	24	24	1
GC_00000762	24	24	1
GC_00000763	24	24	1
GC_00000764	24	24	1
GC_00000765	24	24	1
GC_00000766	24	24	1
GC_00000767	24	24	1
GC_00000768	24	24	1
GC_00000769	24	24	1
GC_00000770	24	24	1
GC_00000771	24	24	1
GC_00000772	24	24	1
GC_00000773	24	24	1
GC_00000774	24	24	1
GC_00000775	24	24	1
GC_00000776	24	24	1
GC_00000777	24	24	1
GC_00000778	24	24	1
GC_00000779	24	24	1
GC_00000780	24	24	1
GC_00000781	24	24	1
GC_00000782	24	24	1
GC_00000783	24	24	1
GC_00000784	24	24	1
GC_00000785	24	24	1
GC_00000786	24	24	1
GC_00000787	24	24	1
GC_00000788	24	24	1
GC_00000789	24	24	1
GC_00000790	24	24	1
GC_00000791	24	24	1
GC_00000792	24	24	1
GC_00000793	24	24	1
GC_00000794	24	24	1
GC_00000795	24	24	1
GC_00000796	24	24	1
GC_00000797	24	24	1
GC_00000798	24	24	1
GC_00000799	24	24	1
GC_00000800	24	24	1
GC_00000801	24	24	1
GC_00000802	24	24	1
GC_00000803	24	24	1
GC_00000804	24	24	1
GC_00000805	24	24	1
GC_00000806	24	24	1
GC_00000807	24	24	1
GC_00000808	24	24	1
GC_00000809	24	24	1
GC_00000810	24	24	1
GC_00000811	24	24	1
GC_00000812	24	24	1
GC_00000813	24	24	1
GC_00000814	24	24	1
GC_00000815	24	24	1
GC_00000816	24	24	1
GC_00000817	24	24	1
GC_00000818	24	24	1
GC_00000819	24	24	1
GC_00000820	24	24	1
GC_00000821	24	24	1
GC_00000822	24	24	1
GC_00000823	24	24	1
GC_00000824	24	24	1
GC_00000825	24	24	1
GC_00000826	24	24	1
GC_00000827	24	24	1
GC_00000828	24	24	1
GC_00000829	24	24	1
GC_00000830	24	24	1
GC_00000831	24	24	1
GC_00000832	24	24	1
GC_00000833	24	24	1
GC_00000834	24	24	1
GC_00000835	24	24	1
GC_00000836	24	24	1
GC_00000837	24	24	1
GC_00000838	24	24	1
GC_00000839	24	24	1
GC_00000840	24	24	1
GC_00000841	24	24	1
GC_00000842	24	24	1
GC_00000843	24	24	1
GC_00000844	24	24	1
GC_00000845	24	24	1
GC_00000846	24	24	1
GC_00000847	24	24	1
GC_00000848	24	24	1
GC_00000849	24	24	1
GC_00000850	24	24	1
GC_00000851	24	24	1
GC_00000852	24	24	1
GC_00000853	24	24	1
GC_00000854	24	24	1
GC_00000855	24	24	1
GC_00000856	24	24	1
GC_00000857	24	24	1
GC_00000858	24	24	1
GC_00000859	24	24	1
GC_00000860	24	24	1
GC_00000861	24	24	1
GC_00000862	24	24	1
GC_00000863	24	24	1
GC_00000864	24	24	1
GC_00000865	24	24	1
GC_00000866	24	24	1
GC_00000867	24	24	1
GC_00000868	24	24	1
GC_00000869	24	24	1
GC_00000870	24	24	1
GC_00000871	24	24	1
GC_00000872	24	24	1
GC_00000873	24	24	1
GC_00000874	24	24	1
GC_00000875	24	24	1
GC_00000876	24	24	1
GC_00000877	24	24	1
GC_00000878	24	24	1
GC_00000879	24	24	1
GC_00000880	24	24	1
GC_00000881	24	24	1
GC_00000882	24	24	1
GC_00000883	24	24	1
GC_00000884	24	24	1
GC_00000885	24	24	1
GC_00000886	24	24	1
GC_00000887	24	24	1
GC_00000888	24	24	1
GC_00000889	24	24	1
GC_00000890	24	24	1
GC_00000891	24	24	1
GC_00000892	24	24	1
GC_00000893	24	24	1
GC_00000894	24	24	1
GC_00000895	24	24	1
GC_00000896	24	24	1
GC_00000897	24	24	1
GC_00000898	24	24	1
GC_00000899	24	24	1
GC_00000900	24	24	1
GC_00000901	24	24	1
GC_00000902	24	24	1
GC_00000903	24	24	1
GC_00000904	24	24	1
GC_00000905	24	24	1
GC_00000906	24	24	1
GC_00000907	24	24	1
GC_00000908	24	24	1
GC_00000909	24	24	1
GC_00000910	24	24	1
GC_00000911	24	24	1
GC_00000912	24	24	1
GC_00000913	24	24	1
GC_00000914	24	24	1
GC_00000915	24	24	1
GC_00000916	24	24	1
GC_00000917	24	24	1
GC_00000918	24	24	1
GC_00000919	24	24	1
GC_00000920	24	24	1
GC_00000921	24	24	1
GC_00000922	24	24	1
GC_00000923	24	24	1
GC_00000924	24	24	1
GC_00000925	24	24	1
GC_00000926	24	24	1
GC_00000927	24	24	1
GC_00000928	24	24	1
GC_00000929	24	24	1
GC_00000930	24	24	1
GC_00000931	24	24	1
GC_00000932	24	24	1
GC_00000933	24	24	1
GC_00000934	24	24	1
GC_00000935	24	24	1
GC_00000936	24	24	1
GC_00000937	24	24	1
GC_00000938	24	24	1
GC_00000939	24	24	1
GC_00000940	24	24	1
GC_00000941	24	24	1
GC_00000942	24	24	1
GC_00000943	24	24	1
GC_00000944	24	24	1
GC_00000945	24	24	1
GC_00000946	24	24	1
GC_00000947	24	24	1
GC_00000948	24	24	1
GC_00000949	24	24	1
GC_00000950	24	24	1
GC_00000951	24	24	1
GC_00000952	24	24	1
GC_00000953	24	24	1
GC_00000954	24	24	1
GC_00000955	24	24	1
GC_00000956	24	24	1
GC_00000957	24	24	1
GC_00000958	24	24	1
GC_00000959	24	24	1
GC_00000960	24	24	1
GC_00000961	24	24	1
GC_00000962	24	24	1
GC_00000963	24	24	1
GC_00000964	24	24	1
GC_00000965	24	24	1
GC_00000966	24	24	1
GC_00000967	24	24	1
GC_00000968	24	24	1
GC_00000969	24	24	1
GC_00000970	24	24	1
GC_00000971	24	24	1
GC_00000972	24	24	1
GC_00000973	24	24	1
GC_00000974	24	24	1
GC_00000975	24	24	1
GC_00000976	24	24	1
GC_00000977	24	24	1
GC_00000978	24	24	1
GC_00000979	24	24	1
GC_00000980	24	24	1
GC_00000981	24	24	1
GC_00000982	24	24	1
GC_00000983	24	24	1
GC_00000984	24	24	1
GC_00000985	24	24	1
GC_00000986	24	24	1
GC_00000987	24	24	1
GC_00000988	24	24	1
GC_00000989	24	24	1
GC_00000990	24	24	1
GC_00000991	24	24	1
GC_00000992	24	24	1
GC_00000993	24	24	1
GC_00000994	24	24	1
GC_00000995	24	24	1
GC_00000996	24	24	1
GC_00000997	24	24	1
GC_00000998	24	24	1
GC_00000999	24	24	1
GC_00001000	24	24	1
GC_00001001	24	24	1
GC_00001002	24	24	1
GC_00001003	24	24	1
GC_00001004	24	24	1
GC_00001005	24	24	1
GC_00001006	24	24	1
GC_00001007	24	24	1
GC_00001008	24	24	1
GC_00001009	24	24	1
GC_00001010	24	24	1
GC_00001011	24	24	1
GC_00001012	24	24	1
GC_00001013	24	24	1
GC_00001014	24	24	1
GC_00001015	24	24	1
GC_00001016	24	24	1
GC_00001017	24	24	1
GC_00001018	24	24	1
GC_00001019	24	24	1
GC_00001020	24	24	1
GC_00001021	24	24	1
GC_00001022	24	24	1
GC_00001023	24	24	1
GC_00001024	24	24	1
GC_00001025	24	24	1
GC_00001026	24	24	1
GC_00001027	24	24	1
GC_00001028	24	24	1
GC_00001029	24	24	1
GC_00001030	24	24	1
GC_00001031	24	24	1
GC_00001032	24	24	1
GC_00001033	24	24	1
GC_00001034	24	24	1
GC_00001035	24	24	1
GC_00001036	24	24	1
GC_00001037	24	24	1
GC_00001038	24	24	1
GC_00001039	24	24	1
GC_00001040	24	24	1
GC_00001041	24	24	1
GC_00001042	24	24	1
GC_00001043	24	24	1
GC_00001044	24	24	1
GC_00001045	24	24	1
GC_00001046	24	24	1
GC_00001047	24	24	1
GC_00001048	24	24	1
GC_00001049	24	24	1
GC_00001050	24	24	1
GC_00001051	24	24	1
GC_00001052	24	24	1
GC_00001053	24	24	1
GC_00001054	24	24	1
GC_00001055	24	24	1
GC_00001056	24	24	1
GC_00001057	24	24	1
GC_00001058	24	24	1
GC_00001059	24	24	1
GC_00001060	24	24	1
GC_00001061	24	24	1
GC_00001062	24	24	1
GC_00001063	24	24	1
GC_00001064	24	24	1
GC_00001065	24	24	1
GC_00001066	24	24	1
GC_00001067	24	24	1
GC_00001068	24	24	1
GC_00001069	24	24	1
GC_00001070	24	24	1
