layers	Hv98_231	b1_3	AV040	ZfB1	Hm21	C4	Hv98_241	ANYA_18196	KMM366	ANYA_14430	AV183026	FDAARGOS_632	Hm22	KMM358	ANYA_13997	Ho04_635	FC951	AV0110	Hv98_232	Hv98_225	AV1708_29120	D3	KMM289	Hv98_571
Ho04_635	109422.0	164582.0	147129.0	149079.0	119446.0	154448.0	133040.0	137602.0	156602.0	150716.0	151486.0	137061.0	149223.0	156500.0	150883.0	0.0	144336.0	137970.0	109103.0	140788.0	156002.0	146459.0	150694.0	148536.0
Hv98_225	140933.0	169960.0	151919.0	153116.0	141709.0	158630.0	146731.0	142103.0	160214.0	146881.0	151875.0	140733.0	148618.0	160060.0	145404.0	141489.0	146389.0	142108.0	140456.0	0.0	159015.0	147687.0	150677.0	147745.0
Hv98_231	0.0	162444.0	146538.0	147473.0	103533.0	153909.0	130229.0	135978.0	153399.0	148410.0	150878.0	137216.0	147209.0	153254.0	148151.0	107827.0	142587.0	136977.0	298.0	139084.0	154648.0	143348.0	147862.0	146329.0
Hv98_232	290.0	160732.0	145387.0	147280.0	103391.0	153539.0	129782.0	136450.0	152974.0	147641.0	150335.0	136439.0	145588.0	152863.0	148152.0	107913.0	142414.0	135851.0	0.0	138198.0	154178.0	143225.0	147256.0	144788.0
Hv98_241	133359.0	167168.0	145992.0	152907.0	134035.0	161763.0	0.0	136763.0	158737.0	150737.0	149457.0	135702.0	153289.0	158608.0	148257.0	135291.0	143870.0	138762.0	132941.0	147173.0	156593.0	143546.0	155754.0	152574.0
Hv98_571	149716.0	171622.0	151845.0	156150.0	150715.0	163228.0	152930.0	145232.0	167722.0	150927.0	153578.0	142000.0	257.0	167461.0	155480.0	149420.0	148790.0	142618.0	149174.0	148309.0	158054.0	146131.0	158885.0	0.0
KMM289	149095.0	174088.0	151942.0	159801.0	149339.0	165274.0	157130.0	142368.0	167292.0	148240.0	154049.0	142656.0	159933.0	167318.0	150423.0	149961.0	150914.0	144908.0	149082.0	150121.0	160320.0	149801.0	0.0	159270.0
KMM358	154526.0	172934.0	157817.0	163935.0	155323.0	165784.0	158224.0	149309.0	666.0	157220.0	162167.0	153126.0	166409.0	0.0	156986.0	154573.0	159729.0	151481.0	153935.0	157413.0	163560.0	156909.0	164447.0	165461.0
KMM366	155014.0	173623.0	157602.0	163168.0	155480.0	166980.0	158803.0	148676.0	0.0	157785.0	162764.0	153180.0	167133.0	750.0	156160.0	155430.0	158709.0	151496.0	154427.0	157493.0	165087.0	156801.0	163177.0	165854.0
ZfB1	149441.0	169263.0	150634.0	0.0	151447.0	161260.0	154306.0	144098.0	165468.0	150606.0	151235.0	149981.0	157529.0	165406.0	151360.0	149994.0	152420.0	147621.0	149230.0	150381.0	164781.0	151059.0	158211.0	156564.0
b1_3	162332.0	0.0	170748.0	168437.0	163993.0	177283.0	166951.0	160640.0	171866.0	161257.0	167854.0	163877.0	171729.0	171455.0	162336.0	162658.0	163421.0	164596.0	161882.0	167650.0	162972.0	170332.0	171718.0	170663.0
