layers	Hv98_231	b1_3	AV040	ZfB1	Hm21	C4	Hv98_241	ANYA_18196	KMM366	ANYA_14430	AV183026	FDAARGOS_632	Hm22	KMM358	ANYA_13997	Ho04_635	FC951	AV0110	Hv98_232	Hv98_225	AV1708_29120	D3	KMM289	Hv98_571
Hm22	4326369.0	3989108.0	3953547.0	3981782.0	4326459.0	4154657.0	4431303.0	3926382.0	4099682.0	4062765.0	4031244.0	3960718.0	4926283.0	4099902.0	4064869.0	4306305.0	3838387.0	3946355.0	4314852.0	4088733.0	3893855.0	3927042.0	4102145.0	4892919.0
Ho04_635	4388313.0	3916384.0	3918103.0	3898841.0	4388136.0	4071523.0	4360813.0	3922407.0	4041085.0	4036871.0	3986842.0	3970856.0	4290027.0	4042106.0	4017245.0	4695816.0	3838760.0	3964436.0	4374280.0	4004672.0	3864443.0	3923895.0	4051240.0	4276245.0
Hv98_225	4015683.0	3954943.0	3989638.0	3849377.0	3997436.0	3989431.0	4032064.0	3948113.0	3939349.0	3899035.0	3930269.0	4015075.0	4095417.0	3939408.0	3862404.0	4021200.0	3809490.0	4015887.0	4001290.0	4861096.0	3899831.0	3916377.0	3996166.0	4084135.0
Hv98_231	4595446.0	3904191.0	3888802.0	3881353.0	4425562.0	4073581.0	4340070.0	3906047.0	4039424.0	4023106.0	3992274.0	3947942.0	4301039.0	4040809.0	4003824.0	4378828.0	3815873.0	3935900.0	4562923.0	3991985.0	3847333.0	3902920.0	4021632.0	4283091.0
Hv98_232	4578066.0	3886174.0	3883696.0	3881315.0	4423758.0	4067334.0	4327168.0	3901861.0	4035838.0	4015081.0	3982390.0	3937049.0	4282607.0	4036778.0	3995207.0	4373961.0	3813029.0	3926863.0	4588085.0	3981056.0	3835047.0	3899651.0	4014421.0	4267683.0
Hv98_241	4370366.0	3966581.0	3919450.0	3924809.0	4368202.0	4133413.0	4882552.0	3913517.0	4093210.0	4040985.0	3982299.0	3962171.0	4440083.0	4093721.0	4005500.0	4390605.0	3826088.0	3950567.0	4354366.0	4031872.0	3865470.0	3888834.0	4102082.0	4428148.0
Hv98_571	4304482.0	3962270.0	3934171.0	3959242.0	4293145.0	4126262.0	4414375.0	3898676.0	4071660.0	4031504.0	3998052.0	3937974.0	4894464.0	4071664.0	4035652.0	4282921.0	3818858.0	3917940.0	4289507.0	4067106.0	3859568.0	3900669.0	4077209.0	4929412.0
KMM289	4062655.0	4013006.0	3960016.0	3974689.0	4065339.0	4097871.0	4128415.0	3917176.0	4158509.0	3923772.0	3961287.0	3983331.0	4127097.0	4159565.0	3949847.0	4064386.0	3891671.0	4007843.0	4052568.0	3990174.0	3887731.0	3945078.0	4743401.0	4110964.0
KMM358	4060715.0	3972020.0	3936229.0	3969964.0	4074847.0	4114703.0	4110430.0	3930454.0	4847067.0	3969521.0	4023996.0	3940897.0	4101406.0	4848679.0	3976949.0	4059931.0	3866483.0	3953213.0	4048888.0	3946054.0	3886292.0	3926366.0	4146826.0	4082128.0
KMM366	4069040.0	3976045.0	3939609.0	3974084.0	4083716.0	4120742.0	4120104.0	3935745.0	4913612.0	3976025.0	4026935.0	3943142.0	4107220.0	4850403.0	3970266.0	4063281.0	3862746.0	3954799.0	4059353.0	3944298.0	3893775.0	3930323.0	4139826.0	4084470.0
ZfB1	3928020.0	3841470.0	3894560.0	4711383.0	3949702.0	4032518.0	3973713.0	3876206.0	3990174.0	3968914.0	3961695.0	3915082.0	4026120.0	3990812.0	3966928.0	3940001.0	3934099.0	3865084.0	3919031.0	3861010.0	3858480.0	3920829.0	3972120.0	4012428.0
b1_3	3918646.0	4727191.0	4024814.0	3816613.0	3932877.0	3989881.0	3979060.0	3891790.0	3960558.0	3864806.0	3890492.0	3953620.0	3997316.0	3959019.0	3860822.0	3928392.0	3777628.0	3984152.0	3911223.0	3946552.0	3971467.0	3925021.0	3997608.0	3975929.0
