"module","module_name.x","KMM289_pathwise_module_completeness","KMM358_pathwise_module_completeness","KMM366_pathwise_module_completeness","KMM289_stepwise_module_completeness","KMM358_stepwise_module_completeness","KMM366_stepwise_module_completeness","has_na_pathwise","pathwise_difference","same_pathwise","module_name.y","module_class","module_category","module_subcategory"
"M01031","CDP-Asc biosynthesis, Glc-1P => CDP-Asc",NA,0.4,0.4,NA,0.4,0.4,TRUE,0,FALSE,"CDP-Asc biosynthesis, Glc-1P => CDP-Asc","Pathway modules","Glycan metabolism","Nucleotide sugar biosynthesis"
"M01034","GDP-D-Rha4NFormyl biosynthesis, GDP-Man => GDP-D-Rha4N => GDP-D-Rha4NFormyl",NA,0.666666666666667,0.666666666666667,NA,0.666666666666667,0.666666666666667,TRUE,0,FALSE,"GDP-D-Rha4NFormyl biosynthesis, GDP-Man => GDP-D-Rha4N => GDP-D-Rha4NFormyl","Pathway modules","Glycan metabolism","Nucleotide sugar biosynthesis"
"M01034","GDP-D-Rha4NFormyl biosynthesis, GDP-Man => GDP-D-Rha4N => GDP-D-Rha4NFormyl",NA,0.666666666666667,0.666666666666667,NA,0.666666666666667,0.666666666666667,TRUE,0,FALSE,"GDP-D-Rha4NFormyl biosynthesis, GDP-Man => GDP-D-Rha4N => GDP-D-Rha4NFormyl","Pathway modules","Glycan metabolism","Nucleotide sugar biosynthesis"
"M01020","GDP-D-Rha4NAc biosynthesis, GDP-Man => GDP-D-Rha4N => GDP-D-Rha4NAc",NA,0.666666666666667,0.666666666666667,NA,0.666666666666667,0.666666666666667,TRUE,0,FALSE,"GDP-D-Rha4NAc biosynthesis, GDP-Man => GDP-D-Rha4N => GDP-D-Rha4NAc","Pathway modules","Glycan metabolism","Nucleotide sugar biosynthesis"
"M01020","GDP-D-Rha4NAc biosynthesis, GDP-Man => GDP-D-Rha4N => GDP-D-Rha4NAc",NA,0.666666666666667,0.666666666666667,NA,0.666666666666667,0.666666666666667,TRUE,0,FALSE,"GDP-D-Rha4NAc biosynthesis, GDP-Man => GDP-D-Rha4N => GDP-D-Rha4NAc","Pathway modules","Glycan metabolism","Nucleotide sugar biosynthesis"
"M01016","GDP-L-Fuc biosynthesis, GDP-Man => GDP-L-Fuc",NA,1,1,NA,1,1,TRUE,0,FALSE,"GDP-L-Fuc biosynthesis, GDP-Man => GDP-L-Fuc","Pathway modules","Glycan metabolism","Nucleotide sugar biosynthesis"
"M01016","GDP-L-Fuc biosynthesis, GDP-Man => GDP-L-Fuc",NA,1,1,NA,1,1,TRUE,0,FALSE,"GDP-L-Fuc biosynthesis, GDP-Man => GDP-L-Fuc","Pathway modules","Glycan metabolism","Nucleotide sugar biosynthesis"
"M01017","GDP-L-Col biosynthesis, GDP-Man => GDP-L-Col",NA,0.333333333333333,0.333333333333333,NA,0.333333333333333,0.333333333333333,TRUE,0,FALSE,"GDP-L-Col biosynthesis, GDP-Man => GDP-L-Col","Pathway modules","Glycan metabolism","Nucleotide sugar biosynthesis"
"M01017","GDP-L-Col biosynthesis, GDP-Man => GDP-L-Col",NA,0.333333333333333,0.333333333333333,NA,0.333333333333333,0.333333333333333,TRUE,0,FALSE,"GDP-L-Col biosynthesis, GDP-Man => GDP-L-Col","Pathway modules","Glycan metabolism","Nucleotide sugar biosynthesis"
"M01018","GDP-D-Rha biosynthesis, GDP-Man => GDP-D-Rha",NA,0.5,0.5,NA,0.5,0.5,TRUE,0,FALSE,"GDP-D-Rha biosynthesis, GDP-Man => GDP-D-Rha","Pathway modules","Glycan metabolism","Nucleotide sugar biosynthesis"
"M01018","GDP-D-Rha biosynthesis, GDP-Man => GDP-D-Rha",NA,0.5,0.5,NA,0.5,0.5,TRUE,0,FALSE,"GDP-D-Rha biosynthesis, GDP-Man => GDP-D-Rha","Pathway modules","Glycan metabolism","Nucleotide sugar biosynthesis"
"M01019","GDP-6-deoxy-Tal biosynthesis, GDP-Man => GDP-6-deoxy-Tal",NA,0.5,0.5,NA,0.5,0.5,TRUE,0,FALSE,"GDP-6-deoxy-Tal biosynthesis, GDP-Man => GDP-6-deoxy-Tal","Pathway modules","Glycan metabolism","Nucleotide sugar biosynthesis"
"M01019","GDP-6-deoxy-Tal biosynthesis, GDP-Man => GDP-6-deoxy-Tal",NA,0.5,0.5,NA,0.5,0.5,TRUE,0,FALSE,"GDP-6-deoxy-Tal biosynthesis, GDP-Man => GDP-6-deoxy-Tal","Pathway modules","Glycan metabolism","Nucleotide sugar biosynthesis"
"M00856","Salmonella enterica pathogenicity signature, typhoid toxin",NA,0.25,0.25,NA,0.25,0.25,TRUE,0,FALSE,"Salmonella enterica pathogenicity signature, typhoid toxin","Signature modules","Gene set","Pathogenicity"
"M00856","Salmonella enterica pathogenicity signature, typhoid toxin",NA,0.25,0.25,NA,0.25,0.25,TRUE,0,FALSE,"Salmonella enterica pathogenicity signature, typhoid toxin","Signature modules","Gene set","Pathogenicity"
"M00574","Pertussis pathogenicity signature, pertussis toxin",NA,0.25,0.25,NA,0.25,0.25,TRUE,0,FALSE,"Pertussis pathogenicity signature, pertussis toxin","Signature modules","Gene set","Pathogenicity"
"M00574","Pertussis pathogenicity signature, pertussis toxin",NA,0.25,0.25,NA,0.25,0.25,TRUE,0,FALSE,"Pertussis pathogenicity signature, pertussis toxin","Signature modules","Gene set","Pathogenicity"
"M00564","Helicobacter pylori pathogenicity signature, cagA pathogenicity island",NA,NA,0.0434782608695652,NA,NA,0.0434782608695652,TRUE,0,FALSE,"Helicobacter pylori pathogenicity signature, cagA pathogenicity island","Signature modules","Gene set","Pathogenicity"
"M00627","beta-Lactam resistance, Bla system",NA,NA,0.333333333333333,NA,NA,0.333333333333333,TRUE,0,FALSE,"beta-Lactam resistance, Bla system","Signature modules","Gene set","Drug resistance"
"M00550","Ascorbate degradation, ascorbate => D-xylulose-5P",1,0.2,0.2,1,0.2,0.2,FALSE,0.8,FALSE,"Ascorbate degradation, ascorbate => D-xylulose-5P","Pathway modules","Carbohydrate metabolism","Other carbohydrate metabolism"
"M00550","Ascorbate degradation, ascorbate => D-xylulose-5P",1,0.2,0.2,1,0.2,0.2,FALSE,0.8,FALSE,"Ascorbate degradation, ascorbate => D-xylulose-5P","Pathway modules","Carbohydrate metabolism","Other carbohydrate metabolism"
"M00550","Ascorbate degradation, ascorbate => D-xylulose-5P",1,0.2,0.2,1,0.2,0.2,FALSE,0.8,FALSE,"Ascorbate degradation, ascorbate => D-xylulose-5P","Pathway modules","Carbohydrate metabolism","Other carbohydrate metabolism"
"M00923","UDP-L-FucNAc biosynthesis, UDP-GlcNAc => UDP-L-FucNAc",1,0.333333333333333,0.333333333333333,1,0.333333333333333,0.333333333333333,FALSE,0.666666666666667,FALSE,"UDP-L-FucNAc biosynthesis, UDP-GlcNAc => UDP-L-FucNAc","Pathway modules","Glycan metabolism","Nucleotide sugar biosynthesis"
"M00923","UDP-L-FucNAc biosynthesis, UDP-GlcNAc => UDP-L-FucNAc",1,0.333333333333333,0.333333333333333,1,0.333333333333333,0.333333333333333,FALSE,0.666666666666667,FALSE,"UDP-L-FucNAc biosynthesis, UDP-GlcNAc => UDP-L-FucNAc","Pathway modules","Glycan metabolism","Nucleotide sugar biosynthesis"
"M00923","UDP-L-FucNAc biosynthesis, UDP-GlcNAc => UDP-L-FucNAc",1,0.333333333333333,0.333333333333333,1,0.333333333333333,0.333333333333333,FALSE,0.666666666666667,FALSE,"UDP-L-FucNAc biosynthesis, UDP-GlcNAc => UDP-L-FucNAc","Pathway modules","Glycan metabolism","Nucleotide sugar biosynthesis"
"M01006","GDP-D-Rha4N biosynthesis, Fru-6P => GDP-D-Rha4N",0.2,0.8,0.8,0.2,0.8,0.8,FALSE,0.6,FALSE,"GDP-D-Rha4N biosynthesis, Fru-6P => GDP-D-Rha4N","Pathway modules","Glycan metabolism","Nucleotide sugar biosynthesis"
"M01006","GDP-D-Rha4N biosynthesis, Fru-6P => GDP-D-Rha4N",0.2,0.8,0.8,0.2,0.8,0.8,FALSE,0.6,FALSE,"GDP-D-Rha4N biosynthesis, Fru-6P => GDP-D-Rha4N","Pathway modules","Glycan metabolism","Nucleotide sugar biosynthesis"
"M01006","GDP-D-Rha4N biosynthesis, Fru-6P => GDP-D-Rha4N",0.2,0.8,0.8,0.2,0.8,0.8,FALSE,0.6,FALSE,"GDP-D-Rha4N biosynthesis, Fru-6P => GDP-D-Rha4N","Pathway modules","Glycan metabolism","Nucleotide sugar biosynthesis"
"M00616","Sulfate-sulfur assimilation",0.5,0.875,0.875,0.5,0.5,0.5,FALSE,0.375,FALSE,"Sulfate-sulfur assimilation","Signature modules","Module set","Metabolic capacity"
"M00616","Sulfate-sulfur assimilation",0.5,0.875,0.875,0.5,0.5,0.5,FALSE,0.375,FALSE,"Sulfate-sulfur assimilation","Signature modules","Module set","Metabolic capacity"
"M00616","Sulfate-sulfur assimilation",0.5,0.875,0.875,0.5,0.5,0.5,FALSE,0.375,FALSE,"Sulfate-sulfur assimilation","Signature modules","Module set","Metabolic capacity"
"M01000","GDP-Man biosynthesis, Fru-6P => GDP-Man",0.333333333333333,0.666666666666667,0.666666666666667,0.333333333333333,0.666666666666667,0.666666666666667,FALSE,0.333333333333333,FALSE,"GDP-Man biosynthesis, Fru-6P => GDP-Man","Pathway modules","Glycan metabolism","Nucleotide sugar biosynthesis"
"M01000","GDP-Man biosynthesis, Fru-6P => GDP-Man",0.333333333333333,0.666666666666667,0.666666666666667,0.333333333333333,0.666666666666667,0.666666666666667,FALSE,0.333333333333333,FALSE,"GDP-Man biosynthesis, Fru-6P => GDP-Man","Pathway modules","Glycan metabolism","Nucleotide sugar biosynthesis"
"M01000","GDP-Man biosynthesis, Fru-6P => GDP-Man",0.333333333333333,0.666666666666667,0.666666666666667,0.333333333333333,0.666666666666667,0.666666666666667,FALSE,0.333333333333333,FALSE,"GDP-Man biosynthesis, Fru-6P => GDP-Man","Pathway modules","Glycan metabolism","Nucleotide sugar biosynthesis"
"M00530","Dissimilatory nitrate reduction, nitrate => ammonia",1,0.75,0.75,1,0.5,0.5,FALSE,0.25,FALSE,"Dissimilatory nitrate reduction, nitrate => ammonia","Pathway modules","Energy metabolism","Nitrogen metabolism"
"M00530","Dissimilatory nitrate reduction, nitrate => ammonia",1,0.75,0.75,1,0.5,0.5,FALSE,0.25,FALSE,"Dissimilatory nitrate reduction, nitrate => ammonia","Pathway modules","Energy metabolism","Nitrogen metabolism"
"M00530","Dissimilatory nitrate reduction, nitrate => ammonia",1,0.75,0.75,1,0.5,0.5,FALSE,0.25,FALSE,"Dissimilatory nitrate reduction, nitrate => ammonia","Pathway modules","Energy metabolism","Nitrogen metabolism"
"M00308","Semi-phosphorylative Entner-Doudoroff pathway, gluconate => glycerate-3P",0.8,0.6,0.6,0.75,0.5,0.5,FALSE,0.2,FALSE,"Semi-phosphorylative Entner-Doudoroff pathway, gluconate => glycerate-3P","Pathway modules","Carbohydrate metabolism","Central carbohydrate metabolism"
"M00308","Semi-phosphorylative Entner-Doudoroff pathway, gluconate => glycerate-3P",0.8,0.6,0.6,0.75,0.5,0.5,FALSE,0.2,FALSE,"Semi-phosphorylative Entner-Doudoroff pathway, gluconate => glycerate-3P","Pathway modules","Carbohydrate metabolism","Central carbohydrate metabolism"
"M00308","Semi-phosphorylative Entner-Doudoroff pathway, gluconate => glycerate-3P",0.8,0.6,0.6,0.75,0.5,0.5,FALSE,0.2,FALSE,"Semi-phosphorylative Entner-Doudoroff pathway, gluconate => glycerate-3P","Pathway modules","Carbohydrate metabolism","Central carbohydrate metabolism"
"M00631","D-Galacturonate degradation (bacteria), D-galacturonate => pyruvate + D-glyceraldehyde 3P",0.4,0.2,0.2,0.4,0.2,0.2,FALSE,0.2,FALSE,"D-Galacturonate degradation (bacteria), D-galacturonate => pyruvate + D-glyceraldehyde 3P","Pathway modules","Carbohydrate metabolism","Other carbohydrate metabolism"
"M00631","D-Galacturonate degradation (bacteria), D-galacturonate => pyruvate + D-glyceraldehyde 3P",0.4,0.2,0.2,0.4,0.2,0.2,FALSE,0.2,FALSE,"D-Galacturonate degradation (bacteria), D-galacturonate => pyruvate + D-glyceraldehyde 3P","Pathway modules","Carbohydrate metabolism","Other carbohydrate metabolism"
"M00631","D-Galacturonate degradation (bacteria), D-galacturonate => pyruvate + D-glyceraldehyde 3P",0.4,0.2,0.2,0.4,0.2,0.2,FALSE,0.2,FALSE,"D-Galacturonate degradation (bacteria), D-galacturonate => pyruvate + D-glyceraldehyde 3P","Pathway modules","Carbohydrate metabolism","Other carbohydrate metabolism"
"M00061","D-Glucuronate degradation, D-glucuronate => pyruvate + D-glyceraldehyde 3P",0.4,0.2,0.2,0.4,0.2,0.2,FALSE,0.2,FALSE,"D-Glucuronate degradation, D-glucuronate => pyruvate + D-glyceraldehyde 3P","Pathway modules","Carbohydrate metabolism","Other carbohydrate metabolism"
"M00061","D-Glucuronate degradation, D-glucuronate => pyruvate + D-glyceraldehyde 3P",0.4,0.2,0.2,0.4,0.2,0.2,FALSE,0.2,FALSE,"D-Glucuronate degradation, D-glucuronate => pyruvate + D-glyceraldehyde 3P","Pathway modules","Carbohydrate metabolism","Other carbohydrate metabolism"
"M00061","D-Glucuronate degradation, D-glucuronate => pyruvate + D-glyceraldehyde 3P",0.4,0.2,0.2,0.4,0.2,0.2,FALSE,0.2,FALSE,"D-Glucuronate degradation, D-glucuronate => pyruvate + D-glyceraldehyde 3P","Pathway modules","Carbohydrate metabolism","Other carbohydrate metabolism"
"M01007","CMP-Pse5Ac7Ac biosynthesis, UDP-GlcNAc => CMP-Pse5Ac7Ac",0.333333333333333,0.5,0.5,0.333333333333333,0.5,0.5,FALSE,0.166666666666667,FALSE,"CMP-Pse5Ac7Ac biosynthesis, UDP-GlcNAc => CMP-Pse5Ac7Ac","Pathway modules","Glycan metabolism","Nucleotide sugar biosynthesis"
"M01007","CMP-Pse5Ac7Ac biosynthesis, UDP-GlcNAc => CMP-Pse5Ac7Ac",0.333333333333333,0.5,0.5,0.333333333333333,0.5,0.5,FALSE,0.166666666666667,FALSE,"CMP-Pse5Ac7Ac biosynthesis, UDP-GlcNAc => CMP-Pse5Ac7Ac","Pathway modules","Glycan metabolism","Nucleotide sugar biosynthesis"
"M01007","CMP-Pse5Ac7Ac biosynthesis, UDP-GlcNAc => CMP-Pse5Ac7Ac",0.333333333333333,0.5,0.5,0.333333333333333,0.5,0.5,FALSE,0.166666666666667,FALSE,"CMP-Pse5Ac7Ac biosynthesis, UDP-GlcNAc => CMP-Pse5Ac7Ac","Pathway modules","Glycan metabolism","Nucleotide sugar biosynthesis"
"M00850","Vibrio cholerae pathogenicity signature, cholera toxins",0.333333333333333,0.166666666666667,0.166666666666667,0.333333333333333,0.166666666666667,0.166666666666667,FALSE,0.166666666666667,FALSE,"Vibrio cholerae pathogenicity signature, cholera toxins","Signature modules","Gene set","Pathogenicity"
"M00850","Vibrio cholerae pathogenicity signature, cholera toxins",0.333333333333333,0.166666666666667,0.166666666666667,0.333333333333333,0.166666666666667,0.166666666666667,FALSE,0.166666666666667,FALSE,"Vibrio cholerae pathogenicity signature, cholera toxins","Signature modules","Gene set","Pathogenicity"
"M00850","Vibrio cholerae pathogenicity signature, cholera toxins",0.333333333333333,0.166666666666667,0.166666666666667,0.333333333333333,0.166666666666667,0.166666666666667,FALSE,0.166666666666667,FALSE,"Vibrio cholerae pathogenicity signature, cholera toxins","Signature modules","Gene set","Pathogenicity"
"M00580","Pentose phosphate pathway, archaea, fructose 6P => ribose 5P",0.5,0.666666666666667,0.666666666666667,0.5,0.5,0.5,FALSE,0.166666666666667,FALSE,"Pentose phosphate pathway, archaea, fructose 6P => ribose 5P","Pathway modules","Carbohydrate metabolism","Central carbohydrate metabolism"
"M00580","Pentose phosphate pathway, archaea, fructose 6P => ribose 5P",0.5,0.666666666666667,0.666666666666667,0.5,0.5,0.5,FALSE,0.166666666666667,FALSE,"Pentose phosphate pathway, archaea, fructose 6P => ribose 5P","Pathway modules","Carbohydrate metabolism","Central carbohydrate metabolism"
"M00580","Pentose phosphate pathway, archaea, fructose 6P => ribose 5P",0.5,0.666666666666667,0.666666666666667,0.5,0.5,0.5,FALSE,0.166666666666667,FALSE,"Pentose phosphate pathway, archaea, fructose 6P => ribose 5P","Pathway modules","Carbohydrate metabolism","Central carbohydrate metabolism"
"M00956","Lysine degradation, bacteria, L-lysine => succinate",0.571428571428571,0.428571428571429,0.428571428571429,0.571428571428571,0.428571428571429,0.428571428571429,FALSE,0.142857142857143,FALSE,"Lysine degradation, bacteria, L-lysine => succinate","Pathway modules","Amino acid metabolism","Lysine metabolism"
"M00956","Lysine degradation, bacteria, L-lysine => succinate",0.571428571428571,0.428571428571429,0.428571428571429,0.571428571428571,0.428571428571429,0.428571428571429,FALSE,0.142857142857143,FALSE,"Lysine degradation, bacteria, L-lysine => succinate","Pathway modules","Amino acid metabolism","Lysine metabolism"
"M00956","Lysine degradation, bacteria, L-lysine => succinate",0.571428571428571,0.428571428571429,0.428571428571429,0.571428571428571,0.428571428571429,0.428571428571429,FALSE,0.142857142857143,FALSE,"Lysine degradation, bacteria, L-lysine => succinate","Pathway modules","Amino acid metabolism","Lysine metabolism"
"M00345","Formaldehyde assimilation, ribulose monophosphate pathway",0.666666666666667,0.75,0.75,0.666666666666667,0.666666666666667,0.666666666666667,FALSE,0.0833333333333334,FALSE,"Formaldehyde assimilation, ribulose monophosphate pathway","Pathway modules","Energy metabolism","Methane metabolism"
"M00345","Formaldehyde assimilation, ribulose monophosphate pathway",0.666666666666667,0.75,0.75,0.666666666666667,0.666666666666667,0.666666666666667,FALSE,0.0833333333333334,FALSE,"Formaldehyde assimilation, ribulose monophosphate pathway","Pathway modules","Energy metabolism","Methane metabolism"
"M00345","Formaldehyde assimilation, ribulose monophosphate pathway",0.666666666666667,0.75,0.75,0.666666666666667,0.666666666666667,0.666666666666667,FALSE,0.0833333333333334,FALSE,"Formaldehyde assimilation, ribulose monophosphate pathway","Pathway modules","Energy metabolism","Methane metabolism"
"M00001","Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate",1,1,1,1,1,1,FALSE,0,TRUE,"Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate","Pathway modules","Carbohydrate metabolism","Central carbohydrate metabolism"
"M00001","Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate",1,1,1,1,1,1,FALSE,0,TRUE,"Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate","Pathway modules","Carbohydrate metabolism","Central carbohydrate metabolism"
"M00001","Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate",1,1,1,1,1,1,FALSE,0,TRUE,"Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate","Pathway modules","Carbohydrate metabolism","Central carbohydrate metabolism"
"M00002","Glycolysis, core module involving three-carbon compounds",1,1,1,1,1,1,FALSE,0,TRUE,"Glycolysis, core module involving three-carbon compounds","Pathway modules","Carbohydrate metabolism","Central carbohydrate metabolism"
"M00002","Glycolysis, core module involving three-carbon compounds",1,1,1,1,1,1,FALSE,0,TRUE,"Glycolysis, core module involving three-carbon compounds","Pathway modules","Carbohydrate metabolism","Central carbohydrate metabolism"
"M00002","Glycolysis, core module involving three-carbon compounds",1,1,1,1,1,1,FALSE,0,TRUE,"Glycolysis, core module involving three-carbon compounds","Pathway modules","Carbohydrate metabolism","Central carbohydrate metabolism"
"M00003","Gluconeogenesis, oxaloacetate => fructose-6P",1,1,1,1,1,1,FALSE,0,TRUE,"Gluconeogenesis, oxaloacetate => fructose-6P","Pathway modules","Carbohydrate metabolism","Central carbohydrate metabolism"
"M00003","Gluconeogenesis, oxaloacetate => fructose-6P",1,1,1,1,1,1,FALSE,0,TRUE,"Gluconeogenesis, oxaloacetate => fructose-6P","Pathway modules","Carbohydrate metabolism","Central carbohydrate metabolism"
"M00003","Gluconeogenesis, oxaloacetate => fructose-6P",1,1,1,1,1,1,FALSE,0,TRUE,"Gluconeogenesis, oxaloacetate => fructose-6P","Pathway modules","Carbohydrate metabolism","Central carbohydrate metabolism"
"M00307","Pyruvate oxidation, pyruvate => acetyl-CoA",1,1,1,1,1,1,FALSE,0,TRUE,"Pyruvate oxidation, pyruvate => acetyl-CoA","Pathway modules","Carbohydrate metabolism","Central carbohydrate metabolism"
"M00307","Pyruvate oxidation, pyruvate => acetyl-CoA",1,1,1,1,1,1,FALSE,0,TRUE,"Pyruvate oxidation, pyruvate => acetyl-CoA","Pathway modules","Carbohydrate metabolism","Central carbohydrate metabolism"
"M00307","Pyruvate oxidation, pyruvate => acetyl-CoA",1,1,1,1,1,1,FALSE,0,TRUE,"Pyruvate oxidation, pyruvate => acetyl-CoA","Pathway modules","Carbohydrate metabolism","Central carbohydrate metabolism"
"M00009","Citrate cycle (TCA cycle, Krebs cycle)",0.875,0.875,0.875,0.875,0.875,0.875,FALSE,0,TRUE,"Citrate cycle (TCA cycle, Krebs cycle)","Pathway modules","Carbohydrate metabolism","Central carbohydrate metabolism"
"M00009","Citrate cycle (TCA cycle, Krebs cycle)",0.875,0.875,0.875,0.875,0.875,0.875,FALSE,0,TRUE,"Citrate cycle (TCA cycle, Krebs cycle)","Pathway modules","Carbohydrate metabolism","Central carbohydrate metabolism"
"M00009","Citrate cycle (TCA cycle, Krebs cycle)",0.875,0.875,0.875,0.875,0.875,0.875,FALSE,0,TRUE,"Citrate cycle (TCA cycle, Krebs cycle)","Pathway modules","Carbohydrate metabolism","Central carbohydrate metabolism"
"M00010","Citrate cycle, first carbon oxidation, oxaloacetate => 2-oxoglutarate",1,1,1,1,1,1,FALSE,0,TRUE,"Citrate cycle, first carbon oxidation, oxaloacetate => 2-oxoglutarate","Pathway modules","Carbohydrate metabolism","Central carbohydrate metabolism"
"M00010","Citrate cycle, first carbon oxidation, oxaloacetate => 2-oxoglutarate",1,1,1,1,1,1,FALSE,0,TRUE,"Citrate cycle, first carbon oxidation, oxaloacetate => 2-oxoglutarate","Pathway modules","Carbohydrate metabolism","Central carbohydrate metabolism"
"M00010","Citrate cycle, first carbon oxidation, oxaloacetate => 2-oxoglutarate",1,1,1,1,1,1,FALSE,0,TRUE,"Citrate cycle, first carbon oxidation, oxaloacetate => 2-oxoglutarate","Pathway modules","Carbohydrate metabolism","Central carbohydrate metabolism"
"M00011","Citrate cycle, second carbon oxidation, 2-oxoglutarate => oxaloacetate",0.8,0.8,0.8,0.8,0.8,0.8,FALSE,0,TRUE,"Citrate cycle, second carbon oxidation, 2-oxoglutarate => oxaloacetate","Pathway modules","Carbohydrate metabolism","Central carbohydrate metabolism"
"M00011","Citrate cycle, second carbon oxidation, 2-oxoglutarate => oxaloacetate",0.8,0.8,0.8,0.8,0.8,0.8,FALSE,0,TRUE,"Citrate cycle, second carbon oxidation, 2-oxoglutarate => oxaloacetate","Pathway modules","Carbohydrate metabolism","Central carbohydrate metabolism"
"M00011","Citrate cycle, second carbon oxidation, 2-oxoglutarate => oxaloacetate",0.8,0.8,0.8,0.8,0.8,0.8,FALSE,0,TRUE,"Citrate cycle, second carbon oxidation, 2-oxoglutarate => oxaloacetate","Pathway modules","Carbohydrate metabolism","Central carbohydrate metabolism"
"M00004","Pentose phosphate pathway (Pentose phosphate cycle)",0.714285714285714,0.714285714285714,0.714285714285714,0.666666666666667,0.666666666666667,0.666666666666667,FALSE,0,TRUE,"Pentose phosphate pathway (Pentose phosphate cycle)","Pathway modules","Carbohydrate metabolism","Central carbohydrate metabolism"
"M00004","Pentose phosphate pathway (Pentose phosphate cycle)",0.714285714285714,0.714285714285714,0.714285714285714,0.666666666666667,0.666666666666667,0.666666666666667,FALSE,0,TRUE,"Pentose phosphate pathway (Pentose phosphate cycle)","Pathway modules","Carbohydrate metabolism","Central carbohydrate metabolism"
"M00004","Pentose phosphate pathway (Pentose phosphate cycle)",0.714285714285714,0.714285714285714,0.714285714285714,0.666666666666667,0.666666666666667,0.666666666666667,FALSE,0,TRUE,"Pentose phosphate pathway (Pentose phosphate cycle)","Pathway modules","Carbohydrate metabolism","Central carbohydrate metabolism"
"M00007","Pentose phosphate pathway, non-oxidative phase, fructose 6P => ribose 5P",1,1,1,1,1,1,FALSE,0,TRUE,"Pentose phosphate pathway, non-oxidative phase, fructose 6P => ribose 5P","Pathway modules","Carbohydrate metabolism","Central carbohydrate metabolism"
"M00007","Pentose phosphate pathway, non-oxidative phase, fructose 6P => ribose 5P",1,1,1,1,1,1,FALSE,0,TRUE,"Pentose phosphate pathway, non-oxidative phase, fructose 6P => ribose 5P","Pathway modules","Carbohydrate metabolism","Central carbohydrate metabolism"
