gene_callers_id	source	accession	function	e_value
31	KEGG_BRITE	ko00001!!!ko01000!!!ko03021!!!ko03400	KEGG Orthology (KO)>>>09120 Genetic Information Processing>>>09121 Transcription>>>03020 RNA polymerase [PATH:ko03020]!!!Enzymes>>>2. Transferases>>>2.7  Transferring phosphorus-containing groups>>>2.7.7  Nucleotidyltransferases>>>2.7.7.6  DNA-directed RNA polymerase!!!Transcription machinery>>>Prokaryotic type>>>Bacterial type>>>RNA polymerase>>>Core subunits!!!DNA repair and recombination proteins>>>Prokaryotic type>>>SSBR (single strand breaks repair)>>>NER (nucleotide excision repair)>>>TCR (transcription coupled repair) factors>>>DNA-directed RNA polymerase complex (RNAP)	0.0
32	KOfam	K00942	guanylate kinase [EC:2.7.4.8]	1.8e-85
32	KEGG_Module	M00050	Guanine ribonucleotide biosynthesis, IMP => GDP,GTP	0.0
32	KEGG_Class	M00050	Pathway modules; Nucleotide metabolism; Purine metabolism	0.0
32	KEGG_BRITE	ko00001!!!ko01000	KEGG Orthology (KO)>>>09100 Metabolism>>>09104 Nucleotide metabolism>>>00230 Purine metabolism [PATH:ko00230]!!!Enzymes>>>2. Transferases>>>2.7  Transferring phosphorus-containing groups>>>2.7.4  Phosphotransferases with a phosphate group as acceptor>>>2.7.4.8  guanylate kinase	0.0
33	KOfam	K12982	heptosyltransferase I [EC:2.4.-.-]	2e-158
33	KEGG_BRITE	ko01005	Lipopolysaccharide biosynthesis proteins>>>Core region	0.0
34	KOfam	K11211	3-deoxy-D-manno-octulosonic acid kinase [EC:2.7.1.166]	8.5e-96
34	KEGG_BRITE	ko00001!!!ko01000!!!ko01005	KEGG Orthology (KO)>>>09100 Metabolism>>>09107 Glycan biosynthesis and metabolism>>>00540 Lipopolysaccharide biosynthesis [PATH:ko00540]!!!Enzymes>>>2. Transferases>>>2.7  Transferring phosphorus-containing groups>>>2.7.1  Phosphotransferases with an alcohol group as acceptor>>>2.7.1.166  3-deoxy-D-manno-octulosonic acid kinase!!!Lipopolysaccharide biosynthesis proteins>>>Lipid A	0.0
41	KOfam	K01867	tryptophanyl-tRNA synthetase [EC:6.1.1.2]	1.4e-75
41	KEGG_BRITE	ko00001!!!ko01000!!!ko01007!!!ko03016!!!ko03016	KEGG Orthology (KO)>>>09120 Genetic Information Processing>>>09122 Translation>>>00970 Aminoacyl-tRNA biosynthesis [PATH:ko00970]!!!Enzymes>>>6. Ligases>>>6.1  Forming carbon-oxygen bonds>>>6.1.1  Ligases forming aminoacyl-tRNA and related compounds>>>6.1.1.2  tryptophan---tRNA ligase!!!Amino acid related enzymes>>>Aminoacyl-tRNA synthetase>>>Class I (G)!!!Transfer RNA biogenesis>>>Eukaryotic type>>>Aminoacyl-tRNA synthetases (AARSs)>>>Other AARSs!!!Transfer RNA biogenesis>>>Prokaryotic type>>>Aminoacyl-tRNA synthetases (AARSs)>>>Other AARSs	0.0
43	KOfam	K06149	universal stress protein A	1.5e-47
43	KEGG_BRITE	ko00001	KEGG Orthology (KO)>>>09190 Not Included in Pathway or Brite>>>09193 Unclassified: signaling and cellular processes>>>99995 Signaling proteins	0.0
44	KOfam	K00209	enoyl-[acyl-carrier protein] reductase / trans-2-enoyl-CoA reductase (NAD+) [EC:1.3.1.9 1.3.1.44]	1.2e-162
44	KEGG_Module	M00083	Fatty acid biosynthesis, elongation	0.0
44	KEGG_Class	M00083	Pathway modules; Lipid metabolism; Fatty acid metabolism	0.0
44	KEGG_BRITE	ko00001!!!ko00001!!!ko01000!!!ko01000!!!ko01004	KEGG Orthology (KO)>>>09100 Metabolism>>>09101 Carbohydrate metabolism>>>00650 Butanoate metabolism [PATH:ko00650]!!!KEGG Orthology (KO)>>>09100 Metabolism>>>09103 Lipid metabolism>>>00061 Fatty acid biosynthesis [PATH:ko00061]!!!Enzymes>>>1. Oxidoreductases>>>1.3  Acting on the CH-CH group of donors>>>1.3.1  With NAD+ or NADP+ as acceptor>>>1.3.1.9  enoyl-[acyl-carrier-protein] reductase (NADH)!!!Enzymes>>>1. Oxidoreductases>>>1.3  Acting on the CH-CH group of donors>>>1.3.1  With NAD+ or NADP+ as acceptor>>>1.3.1.44  trans-2-enoyl-CoA reductase (NAD+)!!!Lipid biosynthesis proteins>>>Fatty acid synthase>>>Component type	0.0
45	KOfam	K02217	ferritin [EC:1.16.3.2]	2.4e-81
45	KEGG_BRITE	ko00001!!!ko01000	KEGG Orthology (KO)>>>09190 Not Included in Pathway or Brite>>>09191 Unclassified: metabolism>>>99980 Enzymes with EC numbers!!!Enzymes>>>1. Oxidoreductases>>>1.16  Oxidizing metal ions>>>1.16.3  With oxygen as acceptor>>>1.16.3.2  bacterial non-heme ferritin	0.0
47	KOfam	K27884	two-component system, LytTR family, high-concentration pyruvate sensor kinase [EC:2.7.13.3]	3.7e-270
47	KEGG_BRITE	ko00001!!!ko01000!!!ko01001!!!ko02022	KEGG Orthology (KO)>>>09130 Environmental Information Processing>>>09132 Signal transduction>>>02020 Two-component system [PATH:ko02020]!!!Enzymes>>>2. Transferases>>>2.7  Transferring phosphorus-containing groups>>>2.7.13  Protein-histidine kinases>>>2.7.13.3  histidine kinase!!!Protein kinases>>>Histidine kinases>>>LytTR family [OT]!!!Two-component system>>>LytTR family>>>PyrS-PyrR (pyruvate reutilization)	0.0
48	KOfam	K27885	two-component system, LytTR family, high-concentration pyruvate response regulator	5.7e-112
48	KOfam	K02477	two-component system, LytTR family, response regulator	6.6e-74
48	KEGG_BRITE	ko00001!!!ko02022	KEGG Orthology (KO)>>>09130 Environmental Information Processing>>>09132 Signal transduction>>>02020 Two-component system [PATH:ko02020]!!!Two-component system>>>LytTR family>>>PyrS-PyrR (pyruvate reutilization)	0.0
48	KEGG_BRITE	ko02022	Two-component system>>>LytTR family>>>Unclassified	0.0
49	KOfam	K08177	MFS transporter, OFA family, oxalate/formate antiporter	7.2e-126
49	KEGG_BRITE	ko00001!!!ko02000	KEGG Orthology (KO)>>>09130 Environmental Information Processing>>>09132 Signal transduction>>>02020 Two-component system [PATH:ko02020]!!!Transporters>>>Major facilitator superfamily (MFS)>>>Organic acid transporters>>>Oxalate:formate antiporter (OFA) family [TC:2.A.1.11]	0.0
50	KOfam	K01589	5-(carboxyamino)imidazole ribonucleotide synthase [EC:6.3.4.18]	8.8e-143
50	KEGG_Module	M00048	De novo purine biosynthesis, PRPP + glutamine => IMP	0.0
50	KEGG_Class	M00048	Pathway modules; Nucleotide metabolism; Purine metabolism	0.0
50	KEGG_BRITE	ko00001!!!ko01000	KEGG Orthology (KO)>>>09100 Metabolism>>>09104 Nucleotide metabolism>>>00230 Purine metabolism [PATH:ko00230]!!!Enzymes>>>6. Ligases>>>6.3  Forming carbon-nitrogen bonds>>>6.3.4  Other carbon-nitrogen ligases>>>6.3.4.18  5-(carboxyamino)imidazole ribonucleotide synthase	0.0
51	KOfam	K01588	5-(carboxyamino)imidazole ribonucleotide mutase [EC:5.4.99.18]	3.5e-79
51	KEGG_Module	M00048	De novo purine biosynthesis, PRPP + glutamine => IMP	0.0
51	KEGG_Class	M00048	Pathway modules; Nucleotide metabolism; Purine metabolism	0.0
51	KEGG_BRITE	ko00001!!!ko01000	KEGG Orthology (KO)>>>09100 Metabolism>>>09104 Nucleotide metabolism>>>00230 Purine metabolism [PATH:ko00230]!!!Enzymes>>>5. Isomerases>>>5.4  Intramolecular transferases>>>5.4.99  Transferring other groups>>>5.4.99.18  5-(carboxyamino)imidazole ribonucleotide mutase	0.0
53	KOfam	K07086	uncharacterized protein	1.5e-124
53	KEGG_BRITE	ko00001	KEGG Orthology (KO)>>>09190 Not Included in Pathway or Brite>>>09194 Poorly characterized>>>99997 Function unknown	0.0
54	KOfam	K03717	LysR family transcriptional regulator, transcriptional activator of nhaA	5.7e-116
54	KEGG_BRITE	ko03000	Transcription factors>>>Prokaryotic type>>>Helix-turn-helix>>>LysR family	0.0
55	KOfam	K16092	vitamin B12 transporter	8e-146
55	KOfam	K02014	iron complex outermembrane recepter protein	2.4e-79
55	KEGG_BRITE	ko02000	Transporters>>>Other transporters>>>Pores ion channels [TC:1]	0.0
55	KEGG_BRITE	ko02000	Transporters>>>Other transporters>>>Pores ion channels [TC:1]	0.0
56	KOfam	K01776	glutamate racemase [EC:5.1.1.3]	2.1e-85
56	KEGG_BRITE	ko00001!!!ko01000!!!ko01011	KEGG Orthology (KO)>>>09100 Metabolism>>>09106 Metabolism of other amino acids>>>00470 D-Amino acid metabolism [PATH:ko00470]!!!Enzymes>>>5. Isomerases>>>5.1  Racemases and epimerases>>>5.1.1  Acting on amino acids and derivatives>>>5.1.1.3  glutamate racemase!!!Peptidoglycan biosynthesis and degradation proteins>>>Precursor biosynthesis>>>Racemase	0.0
57	KOfam	K03248	translation initiation factor 3 subunit G	2.8e-17
57	KEGG_BRITE	ko03012	Translation factors>>>Eukaryotic type>>>Initiation factors>>>eIF-3	0.0
59	KOfam	K22132	tRNA threonylcarbamoyladenosine dehydratase	1.2e-104
59	KEGG_BRITE	ko03016	Transfer RNA biogenesis>>>Prokaryotic type>>>tRNA modification factors>>>Other tRNA modification factors	0.0
60	KOfam	K02426	cysteine desulfuration protein SufE	3.5e-48
60	KEGG_BRITE	ko00001	KEGG Orthology (KO)>>>09190 Not Included in Pathway or Brite>>>09194 Poorly characterized>>>99996 General function prediction only	0.0
61	KOfam	K01766	cysteine sulfinate desulfinase [EC:4.4.1.-]	7.1e-168
61	KOfam	K11717	cysteine desulfurase / selenocysteine lyase [EC:2.8.1.7 4.4.1.16]	9.5e-217
61	KEGG_BRITE	ko00001	KEGG Orthology (KO)>>>09190 Not Included in Pathway or Brite>>>09191 Unclassified: metabolism>>>99980 Enzymes with EC numbers	0.0
61	KEGG_BRITE	ko00001!!!ko01000!!!ko01000	KEGG Orthology (KO)>>>09100 Metabolism>>>09106 Metabolism of other amino acids>>>00450 Selenocompound metabolism [PATH:ko00450]!!!Enzymes>>>2. Transferases>>>2.8  Transferring sulfur-containing groups>>>2.8.1  Sulfurtransferases>>>2.8.1.7  cysteine desulfurase!!!Enzymes>>>4. Lyases>>>4.4  Carbon-sulfur lyases>>>4.4.1  Carbon-sulfur lyases (only sub-subclass identified to date)>>>4.4.1.16  selenocysteine lyase	0.0
62	KOfam	K03657	ATP-dependent DNA helicase UvrD/PcrA [EC:5.6.2.4]	4.3e-188
62	KOfam	K03656	ATP-dependent DNA helicase Rep [EC:5.6.2.4]	0
62	KEGG_BRITE	ko00001!!!ko00001!!!ko01000!!!ko03400!!!ko03400	KEGG Orthology (KO)>>>09120 Genetic Information Processing>>>09124 Replication and repair>>>03420 Nucleotide excision repair [PATH:ko03420]!!!KEGG Orthology (KO)>>>09120 Genetic Information Processing>>>09124 Replication and repair>>>03430 Mismatch repair [PATH:ko03430]!!!Enzymes>>>5. Isomerases>>>5.6  Isomerases altering macromolecular conformation>>>5.6.2  Enzymes altering nucleic acid conformation>>>5.6.2.4  DNA 3'-5' helicase!!!DNA repair and recombination proteins>>>Prokaryotic type>>>SSBR (single strand breaks repair)>>>NER (nucleotide excision repair)>>>GGR (global genome repair) factors!!!DNA repair and recombination proteins>>>Prokaryotic type>>>SSBR (single strand breaks repair)>>>MMR (mismatch excision repair)>>>Other MMR factors	0.0
62	KEGG_BRITE	ko01000!!!ko03400	Enzymes>>>5. Isomerases>>>5.6  Isomerases altering macromolecular conformation>>>5.6.2  Enzymes altering nucleic acid conformation>>>5.6.2.4  DNA 3'-5' helicase!!!DNA repair and recombination proteins>>>Prokaryotic type>>>Other factors with a suspected DNA repair function>>>DNA helicases	0.0
65	KOfam	K00060	threonine 3-dehydrogenase [EC:1.1.1.103]	1.7e-193
65	KEGG_BRITE	ko00001!!!ko01000	KEGG Orthology (KO)>>>09100 Metabolism>>>09105 Amino acid metabolism>>>00260 Glycine, serine and threonine metabolism [PATH:ko00260]!!!Enzymes>>>1. Oxidoreductases>>>1.1  Acting on the CH-OH group of donors>>>1.1.1  With NAD+ or NADP+ as acceptor>>>1.1.1.103  L-threonine 3-dehydrogenase	0.0
66	KOfam	K00639	glycine C-acetyltransferase [EC:2.3.1.29]	5.9e-214
66	KEGG_BRITE	ko00001!!!ko01000!!!ko01007	KEGG Orthology (KO)>>>09100 Metabolism>>>09105 Amino acid metabolism>>>00260 Glycine, serine and threonine metabolism [PATH:ko00260]!!!Enzymes>>>2. Transferases>>>2.3  Acyltransferases>>>2.3.1  Transferring groups other than aminoacyl groups>>>2.3.1.29  glycine C-acetyltransferase!!!Amino acid related enzymes>>>Aminotransferase (transaminase)>>>Class II	0.0
68	KOfam	K03274	ADP-L-glycero-D-manno-heptose 6-epimerase [EC:5.1.3.20]	2.6e-157
68	KEGG_Module	M00064	ADP-LDmanHep biosynthesis, sedoheptulose-7P => ADP-LDmanHep	0.0
68	KEGG_Class	M00064	Pathway modules; Glycan metabolism; Nucleotide sugar biosynthesis	0.0
68	KEGG_BRITE	ko00001!!!ko01000!!!ko01005	KEGG Orthology (KO)>>>09100 Metabolism>>>09107 Glycan biosynthesis and metabolism>>>00541 Biosynthesis of various nucleotide sugars [PATH:ko00541]!!!Enzymes>>>5. Isomerases>>>5.1  Racemases and epimerases>>>5.1.3  Acting on carbohydrates and derivatives>>>5.1.3.20  ADP-glyceromanno-heptose 6-epimerase!!!Lipopolysaccharide biosynthesis proteins>>>Core region	0.0
69	KOfam	K22278	peptidoglycan-N-acetylglucosamine deacetylase [EC:3.5.1.104]	1.8e-23
69	KEGG_BRITE	ko00001!!!ko01000	KEGG Orthology (KO)>>>09190 Not Included in Pathway or Brite>>>09191 Unclassified: metabolism>>>99980 Enzymes with EC numbers!!!Enzymes>>>3. Hydrolases>>>3.5  Acting on carbon-nitrogen bonds, other than peptide bonds>>>3.5.1  In linear amides>>>3.5.1.104  peptidoglycan-N-acetylglucosamine deacetylase	0.0
70	KOfam	K02847	O-antigen ligase [EC:2.4.99.26]	9e-57
70	KEGG_BRITE	ko00001!!!ko01000!!!ko01005	KEGG Orthology (KO)>>>09100 Metabolism>>>09107 Glycan biosynthesis and metabolism>>>00540 Lipopolysaccharide biosynthesis [PATH:ko00540]!!!Enzymes>>>2. Transferases>>>2.4  Glycosyltransferases>>>2.4.99  Transferring other glycosyl groups>>>2.4.99.26  O-antigen ligase!!!Lipopolysaccharide biosynthesis proteins>>>Core region	0.0
72	KOfam	K07270	glycosyl transferase, family 25	3.1e-55
72	KEGG_BRITE	ko00001	KEGG Orthology (KO)>>>09190 Not Included in Pathway or Brite>>>09191 Unclassified: metabolism>>>99986 Glycan metabolism	0.0
78	KOfam	K07506	AraC family transcriptional regulator	1.1e-42
78	KEGG_BRITE	ko03000	Transcription factors>>>Prokaryotic type>>>Helix-turn-helix>>>AraC family	0.0
79	KOfam	K05835	threonine efflux protein	3.7e-61
79	KEGG_BRITE	ko02000	Transporters>>>Other transporters>>>Electrochemical potential-driven transporters [TC:2]	0.0
83	KOfam	K09983	uncharacterized protein	2.4e-52
83	KEGG_BRITE	ko00001	KEGG Orthology (KO)>>>09190 Not Included in Pathway or Brite>>>09194 Poorly characterized>>>99997 Function unknown	0.0
85	KOfam	K07491	REP-associated tyrosine transposase	5.7e-30
85	KEGG_BRITE	ko00001	KEGG Orthology (KO)>>>09190 Not Included in Pathway or Brite>>>09192 Unclassified: genetic information processing>>>99976 Replication and repair	0.0
87	KOfam	K03657	ATP-dependent DNA helicase UvrD/PcrA [EC:5.6.2.4]	1.8e-225
87	KEGG_BRITE	ko00001!!!ko00001!!!ko01000!!!ko03400!!!ko03400	KEGG Orthology (KO)>>>09120 Genetic Information Processing>>>09124 Replication and repair>>>03420 Nucleotide excision repair [PATH:ko03420]!!!KEGG Orthology (KO)>>>09120 Genetic Information Processing>>>09124 Replication and repair>>>03430 Mismatch repair [PATH:ko03430]!!!Enzymes>>>5. Isomerases>>>5.6  Isomerases altering macromolecular conformation>>>5.6.2  Enzymes altering nucleic acid conformation>>>5.6.2.4  DNA 3'-5' helicase!!!DNA repair and recombination proteins>>>Prokaryotic type>>>SSBR (single strand breaks repair)>>>NER (nucleotide excision repair)>>>GGR (global genome repair) factors!!!DNA repair and recombination proteins>>>Prokaryotic type>>>SSBR (single strand breaks repair)>>>MMR (mismatch excision repair)>>>Other MMR factors	0.0
88	KOfam	K07335	basic membrane protein A and related proteins	3.8e-114
88	KEGG_BRITE	ko00001!!!ko02000	KEGG Orthology (KO)>>>09130 Environmental Information Processing>>>09131 Membrane transport>>>02010 ABC transporters [PATH:ko02010]!!!Transporters>>>ABC transporters, prokaryotic type>>>Saccharide, polyol, and lipid transporters>>>General nucleoside transporter	0.0
89	KOfam	K23537	general nucleoside transport system ATP-binding protein	3.3e-215
