enzyme	KMM289	KMM358	KMM366
K00525	2	2	2
K00526	1	1	1
K00537	2	2	2
K00548	1	1	1
K00549	1	1	1
K00554	1	1	1
K00556	1	1	1
K00557	1	1	1
K00560	1	3	3
K00563	1	1	1
K00564	2	2	2
K00566	1	1	1
K00567	2	2	2
K00568	1	1	1
K00569	1	1	1
K00573	1	1	1
K00574	1	1	1
K00575	2	2	2
K00590	1	0	0
K00600	1	1	1
K00602	1	1	1
K00604	1	1	1
K00605	1	1	1
K00606	1	1	1
K00609	1	1	1
K00610	1	1	1
K00611	2	2	2
K00615	1	1	1
K00616	1	1	1
K00626	1	1	1
K00627	1	1	1
K00631	1	1	1
K00632	1	2	2
K00635	1	1	1
K00638	2	2	2
K00639	1	1	1
K00640	2	1	1
K00645	1	1	1
K00647	2	2	2
K00648	2	2	2
K00651	1	1	1
K00652	1	1	1
K00655	2	2	2
K00656	1	2	2
K00658	1	1	1
K00661	4	5	5
K00673	1	1	1
K00674	1	1	1
K00677	1	1	1
K00681	1	1	1
K00684	1	1	1
K00688	1	1	1
K00700	1	2	2
K00703	1	1	1
K00705	1	1	1
K00748	1	1	1
K00754	1	1	1
K00757	1	1	1
K00758	1	1	1
K00759	1	1	1
K00760	1	1	1
K00761	1	1	1
K00762	1	1	1
K00763	1	1	1
K00764	1	1	1
K00765	1	1	1
K00766	1	1	1
K00767	1	1	1
K00769	1	1	1
K00773	1	1	1
K00783	1	1	1
K00784	2	2	2
K00788	1	1	1
K00789	1	1	1
K00790	1	1	1
K00791	1	1	1
K00793	2	2	2
K00794	1	1	1
K00795	1	1	1
K00796	1	1	1
K00798	2	2	2
K00799	6	6	6
K00800	1	1	1
K00806	1	1	1
K00813	1	1	1
K00817	1	1	1
K00820	1	1	1
K00821	1	1	1
K00822	1	1	1
K00823	1	1	1
K00826	1	1	1
K00831	1	1	1
K00832	1	1	1
K00833	1	1	1
K00835	1	1	1
K00845	1	1	1
K00847	1	1	1
K00849	1	1	1
K00850	1	1	1
K00851	1	1	1
K00852	1	1	1
K00857	1	1	1
K00858	1	1	1
K00859	1	1	1
K00860	1	1	1
K00864	1	1	1
K00865	1	1	1
K00867	1	1	1
K00868	2	2	2
K00872	1	1	1
K00873	3	2	2
K00874	1	0	0
K00876	1	1	1
K00882	1	1	1
K00886	1	1	1
K00891	1	1	1
K00892	1	1	1
K00906	1	1	1
K00912	1	1	1
K00919	1	1	1
K00925	2	3	3
K00926	2	2	2
K00927	1	1	1
K00928	3	3	3
K00930	1	1	1
K00931	1	1	1
K00932	0	1	1
K00937	1	1	1
K00939	1	1	1
K00940	1	1	1
K00942	1	1	1
K00943	1	1	1
K00945	1	1	1
K00946	1	1	1
K00948	1	1	1
K00950	3	3	3
K00954	1	1	1
K00956	1	1	1
K00957	1	1	1
K00962	1	1	1
K00963	1	1	1
K00965	1	1	1
K00969	1	1	1
K00970	1	1	1
K00971	0	2	2
K00973	1	1	1
K00974	1	1	1
K00975	3	3	3
K00978	0	1	1
K00979	1	1	1
K00981	1	1	1
K00982	1	1	1
K00986	1	1	1
K00989	1	1	1
K00990	1	1	1
K00991	1	1	1
K00992	1	1	1
K00995	1	1	1
K00998	1	1	1
K01000	1	1	1
K01007	1	1	1
K01008	1	1	1
K01012	1	1	1
K01042	2	2	2
K01046	2	2	2
K01048	1	1	1
K01056	1	1	1
K01069	2	2	2
K01070	1	1	1
K01077	2	2	2
K01079	1	1	1
K01082	2	2	2
K01089	1	1	1
K01091	5	4	4
K01092	1	1	1
K01095	1	1	1
K01096	1	1	1
K01118	1	1	1
K01119	0	1	1
K01126	2	2	2
K01129	1	1	1
K01130	1	1	1
K01139	1	1	1
K01141	1	1	1
K01142	1	1	1
K01146	1	1	1
K01147	1	1	1
K01150	1	1	1
K01151	1	1	1
K01153	1	3	3
K01154	0	4	4
K01159	1	1	1
K01166	1	1	1
K01173	1	2	2
K01175	1	1	1
K01176	2	2	2
K01183	3	3	3
K01185	1	1	1
K01190	2	2	2
K01193	1	1	1
K01200	1	1	1
K01214	1	1	1
K01223	1	1	1
K01226	1	1	1
K01232	0	1	1
K01243	1	1	1
K01246	1	1	1
K01250	1	1	1
K01251	1	1	1
K01252	1	1	1
K01255	2	2	2
K01256	1	1	1
K01258	1	1	1
K01262	1	1	1
K01265	1	1	1
K01270	1	1	1
K01271	1	1	1
K01295	2	2	2
K01297	1	1	1
K01299	1	1	1
K01305	1	1	1
K01338	1	1	1
K01354	1	1	1
K01356	1	1	1
K01358	1	1	1
K01387	1	1	1
K01414	1	1	1
K01419	1	1	1
K01420	1	1	1
K01423	2	2	2
K01424	2	2	2
K01425	1	1	1
K01426	1	1	1
K01433	1	1	1
K01438	1	1	1
K01439	2	2	2
K01443	1	2	2
K01448	1	1	1
K01462	1	2	2
K01463	1	0	0
K01464	1	1	1
K01465	1	1	1
K01468	1	1	1
K01478	1	1	1
K01479	1	1	1
K01484	1	1	1
K01485	1	1	1
K01486	1	0	0
K01487	1	1	1
K01488	1	1	1
K01489	1	1	1
K01491	1	1	1
K01494	1	1	1
K01495	1	1	1
K01497	1	1	1
K01507	1	1	1
K01512	1	1	1
K01515	1	1	1
K01519	1	1	1
K01520	1	1	1
K01524	2	2	2
K01525	1	1	1
K01533	1	1	1
K01534	1	1	1
K01546	1	1	1
K01547	1	1	1
K01548	1	1	1
K01551	1	1	1
K01575	1	1	1
K01581	1	1	1
K01582	1	1	1
K01585	1	1	1
K01586	1	1	1
K01588	2	2	2
K01589	1	1	1
K01591	1	1	1
K01595	1	1	1
K01599	1	1	1
K01607	1	1	1
K01609	1	1	1
K01610	1	1	1
K01613	1	1	1
K01619	1	1	1
K01620	1	1	1
K01624	1	2	2
K01625	2	1	1
K01626	4	4	4
K01627	1	1	1
K01633	1	1	1
K01637	1	1	1
K01638	1	1	1
K01640	1	1	1
K01647	1	1	1
K01649	1	1	1
K01652	3	3	3
K01653	1	1	1
K01657	1	1	1
K01658	1	2	2
K01659	1	1	1
K01661	1	1	1
K01662	1	1	1
K01664	1	1	1
K01665	1	1	1
K01667	1	1	1
K01669	1	1	1
K01673	1	1	1
K01674	1	1	1
K01676	1	1	1
K01682	1	1	1
K01687	1	1	1
K01689	1	1	1
K01690	1	1	1
K01695	1	1	1
K01696	1	1	1
K01698	1	1	1
K01703	1	1	1
K01704	1	1	1
K01709	0	1	1
K01710	1	1	1
K01711	0	1	1
K01712	1	1	1
K01714	2	2	2
K01716	1	1	1
K01719	1	1	1
K01720	1	1	1
K01724	2	1	1
K01726	1	1	1
K01733	1	2	2
K01734	1	1	1
K01735	1	1	1
K01736	1	1	1
K01737	1	1	1
K01738	1	1	1
K01739	1	1	1
K01740	1	1	1
K01744	1	1	1
K01745	2	2	2
K01749	1	1	1
K01751	1	1	1
K01752	2	2	2
K01753	1	1	1
K01754	1	2	2
K01755	1	1	1
K01756	1	1	1
K01759	1	1	1
K01761	1	1	1
K01766	1	1	1
K01770	1	1	1
K01772	1	1	1
K01775	2	2	2
K01776	1	1	1
K01778	1	1	1
K01779	1	1	1
K01782	1	1	1
K01783	1	1	1
K01784	2	2	2
K01785	2	2	2
K01788	0	1	1
K01790	1	2	2
K01791	0	1	1
K01792	1	1	1
K01800	1	1	1
K01802	3	3	3
K01803	2	2	2
K01807	1	1	1
K01809	2	1	1
K01810	1	1	1
K01814	1	1	1
K01815	1	0	0
K01817	1	1	1
K01823	1	1	1
K01825	1	1	1
K01835	1	1	1
K01839	1	1	1
K01845	1	1	1
K01854	1	1	1
K01866	2	2	2
K01867	2	2	2
K01868	1	1	1
K01869	1	1	1
K01870	1	1	1
K01872	1	1	1
K01873	1	1	1
K01874	1	1	1
K01875	1	1	1
K01876	1	1	1
K01878	1	1	1
K01879	1	1	1
K01881	1	1	1
K01883	1	1	1
K01885	1	1	1
K01886	1	1	1
K01887	1	1	1
K01889	1	1	1
K01890	1	1	1
K01892	1	1	1
K01893	1	1	1
K01894	1	1	1
K01895	1	1	1
K01897	3	3	3
K01902	1	1	1
K01903	1	1	1
K01907	1	1	1
K01911	1	1	1
K01914	1	1	1
K01915	2	2	2
K01918	1	1	1
K01919	1	1	1
K01920	1	1	1
K01921	1	1	1
K01923	1	1	1
K01924	1	1	1
K01925	1	1	1
K01928	1	1	1
K01929	1	1	1
K01933	1	1	1
K01934	1	1	1
K01935	1	1	1
K01937	1	1	1
K01938	1	1	1
K01939	1	1	1
K01940	1	1	1
K01945	1	1	1
K01950	1	1	1
K01951	1	1	1
K01952	1	1	1
K01953	1	1	1
K01955	1	1	1
K01956	1	1	1
K01961	1	1	1
K01962	1	1	1
K01963	1	1	1
K01969	1	1	1
K01972	1	1	1
K01975	1	1	1
K01989	1	1	1
K01990	1	3	3
K01991	2	1	1
K01992	0	2	2
K01993	1	1	1
K01995	1	1	1
K01996	1	1	1
K01997	1	1	1
K01998	1	1	1
K01999	1	1	1
K02003	5	5	5
K02004	8	8	8
K02005	3	3	3
K02010	2	2	2
K02011	2	2	2
K02012	2	2	2
K02013	4	3	3
K02014	8	8	8
K02015	2	0	0
K02016	2	1	1
K02017	1	1	1
K02018	1	1	1
K02020	1	1	1
K02024	1	1	1
K02027	1	1	1
K02028	3	3	3
K02029	7	9	9
K02030	33	33	33
K02031	4	4	4
K02032	3	3	3
K02033	5	5	5
K02034	6	6	6
K02035	10	10	10
K02036	1	1	1
K02037	1	1	1
K02038	1	1	1
K02039	1	1	1
K02040	1	1	1
K02045	0	1	1
K02046	0	1	1
K02047	0	1	1
K02052	2	1	1
K02053	1	0	0
K02054	4	3	3
K02055	3	2	2
K02063	1	1	1
K02064	1	1	1
K02065	1	1	1
K02066	1	1	1
K02067	1	1	1
K02071	1	1	1
K02072	1	1	1
K02073	2	2	2
K02078	3	3	3
K02079	0	1	1
K02081	0	1	1
K02082	0	1	1
K02108	1	1	1
K02109	1	1	1
K02110	1	1	1
K02111	1	1	1
K02112	1	1	1
K02113	1	1	1
K02114	1	1	1
K02115	1	1	1
K02116	1	1	1
K02160	1	1	1
K02168	1	1	1
K02169	1	1	1
K02170	1	1	1
K02192	1	1	1
K02193	1	1	1
K02194	1	1	1
K02195	1	1	1
K02196	1	1	1
K02197	1	1	1
K02198	2	2	2
K02199	2	2	2
K02200	2	2	2
K02217	1	1	1
K02221	1	1	1
K02227	1	1	1
K02234	1	1	1
K02237	1	1	1
K02238	1	1	1
K02242	1	1	1
K02302	3	2	2
K02303	3	2	2
K02313	1	1	1
K02314	1	1	1
K02315	1	1	1
K02316	1	1	1
K02317	1	1	1
K02335	1	1	1
K02336	1	1	1
K02337	1	1	1
K02338	1	1	1
K02339	1	1	1
K02340	1	1	1
K02341	1	1	1
K02342	2	2	2
K02343	1	1	1
K02344	1	1	1
K02346	1	1	1
K02348	1	1	1
K02355	1	1	1
K02356	1	1	1
K02357	1	1	1
K02358	2	2	2
K02361	1	1	1
K02363	1	1	1
K02364	1	1	1
K02372	1	1	1
K02377	0	1	1
K02379	3	3	3
K02386	2	2	2
K02387	2	2	2
K02388	2	2	2
K02389	2	2	2
K02390	2	2	2
K02391	2	2	2
K02392	2	2	2
K02393	2	2	2
K02394	2	2	2
K02395	2	2	2
K02396	2	2	2
K02397	2	2	2
K02398	2	2	2
K02399	2	2	2
K02400	2	2	2
K02401	2	2	2
K02404	1	1	1
K02405	2	2	2
K02406	4	3	3
K02407	2	2	2
K02408	2	2	2
K02409	2	2	2
K02410	2	2	2
K02411	3	3	3
K02412	2	3	3
K02413	2	2	2
K02414	2	2	2
K02415	3	3	3
K02416	2	2	2
K02417	2	2	2
K02418	1	1	1
K02419	2	2	2
K02420	3	3	3
K02421	2	2	2
K02422	2	2	2
K02426	1	1	1
K02427	1	1	1
K02437	1	1	1
K02439	1	1	1
K02440	1	1	1
K02441	1	1	1
K02444	1	1	1
K02445	1	1	1
K02446	1	1	1
K02450	1	1	1
K02451	1	1	1
K02452	1	1	1
K02453	1	1	1
K02454	1	1	1
K02455	1	1	1
K02456	1	1	1
K02457	1	1	1
K02458	1	1	1
K02459	1	1	1
K02460	1	1	1
K02461	1	1	1
K02462	1	1	1
K02463	1	1	1
K02464	1	1	1
K02469	1	1	1
K02470	1	1	1
K02477	2	2	2
K02482	3	3	3
K02483	9	9	9
K02492	1	1	1
K02493	1	1	1
K02494	1	1	1
K02495	2	2	2
K02496	1	1	1
K02498	2	2	2
K02500	1	1	1
K02501	1	1	1
K02503	1	1	1
K02517	3	3	3
K02518	1	1	1
K02519	1	1	1
K02520	1	1	1
K02521	1	1	1
K02523	1	1	1
K02526	1	0	0
K02527	1	1	1
K02528	1	1	1
K02529	7	7	7
K02533	2	2	2
K02535	1	1	1
K02536	1	1	1
K02548	1	1	1
K02549	1	1	1
K02551	1	1	1
K02552	1	1	1
K02553	2	2	2
K02556	4	4	4
K02557	4	4	4
K02558	1	1	1
K02560	2	2	2
K02562	1	1	1
K02563	1	1	1
K02564	1	1	1
K02565	1	1	1
K02566	1	1	1
K02567	1	1	1
K02568	1	1	1
K02569	1	1	1
K02570	1	1	1
K02572	2	2	2
K02573	1	1	1
K02574	1	1	1
K02598	1	0	0
K02600	1	1	1
K02601	1	1	1
K02619	1	1	1
K02621	1	1	1
K02622	1	1	1
K02623	1	1	1
K02647	1	1	1
K02652	1	1	1
K02653	1	1	1
K02654	1	1	1
K02655	2	2	2
K02656	1	1	1
K02662	1	1	1
K02663	1	1	1
K02664	1	1	1
K02665	1	1	1
K02666	1	1	1
K02669	1	1	1
K02670	2	2	2
K02671	2	2	2
K02672	2	2	2
K02673	2	2	2
K02674	1	1	1
K02687	1	1	1
K02742	1	1	1
K02744	0	1	1
K02745	0	1	1
K02746	0	1	1
K02747	0	1	1
K02750	0	1	1
K02768	2	2	2
K02769	1	1	1
K02770	2	2	2
K02777	1	1	1
K02784	3	3	3
K02791	1	3	3
K02793	1	0	0
K02795	1	0	0
K02800	1	1	1
K02804	1	1	1
K02806	1	1	1
K02810	1	1	1
K02819	1	1	1
K02821	2	1	1
K02822	2	1	1
K02824	1	1	1
K02834	1	1	1
K02835	1	1	1
K02836	1	1	1
K02837	1	1	1
K02838	1	1	1
K02843	1	1	1
K02847	1	1	1
K02858	1	1	1
K02860	1	1	1
K02863	1	1	1
K02864	1	1	1
K02867	1	1	1
K02871	1	1	1
K02874	1	1	1
K02876	1	1	1
K02878	1	1	1
K02879	1	1	1
K02881	1	1	1
K02884	1	1	1
K02886	1	1	1
K02887	1	1	1
K02888	1	1	1
K02890	1	1	1
K02892	1	1	1
K02895	1	1	1
K02897	1	1	1
K02899	1	1	1
K02902	1	1	1
K02904	1	1	1
K02906	1	1	1
K02907	1	1	1
K02909	2	2	2
K02911	1	1	1
K02913	1	1	1
K02914	1	1	1
K02916	1	1	1
K02919	0	1	1
K02926	1	1	1
K02931	1	1	1
K02933	1	1	1
K02935	1	1	1
K02939	1	1	1
K02945	1	1	1
K02946	1	1	1
K02948	1	1	1
K02950	1	1	1
K02952	1	1	1
K02954	1	1	1
K02956	1	1	1
K02959	1	1	1
K02961	1	1	1
K02963	1	1	1
K02965	1	1	1
K02967	1	1	1
K02968	1	1	1
K02970	1	1	1
K02982	1	1	1
K02986	1	1	1
K02988	1	1	1
K02990	1	1	1
K02992	1	1	1
K02994	1	1	1
K02996	1	1	1
K03040	1	1	1
K03043	1	1	1
K03046	1	1	1
K03060	1	1	1
K03070	1	1	1
K03071	1	1	1
K03072	2	2	2
K03073	1	1	1
K03074	2	2	2
K03075	1	1	1
K03076	1	1	1
K03077	1	0	0
K03078	1	0	0
K03079	1	0	0
K03086	1	1	1
K03087	1	1	1
K03088	3	3	3
K03089	1	1	1
K03092	1	1	1
K03098	1	1	1
K03100	1	1	1
K03101	1	1	1
K03106	1	1	1
K03110	1	1	1
K03111	1	1	1
K03112	1	1	1
K03113	1	1	1
K03116	2	2	2
K03117	1	1	1
K03118	1	1	1
K03147	1	1	1
K03148	1	1	1
K03149	1	1	1
K03150	1	1	1
K03151	1	1	1
K03152	1	2	2
K03154	1	1	1
K03168	1	1	1
K03169	1	1	2
K03177	1	1	1
K03179	1	1	1
K03181	1	1	1
K03182	1	1	1
K03183	1	1	1
K03184	1	1	1
K03185	1	1	1
K03186	1	1	1
K03194	0	0	1
K03195	0	0	1
K03196	0	0	1
K03199	0	0	1
K03200	0	0	1
K03201	0	0	1
K03203	0	0	1
K03204	0	0	1
K03205	0	0	1
K03207	0	1	1
K03210	1	1	1
K03215	2	2	2
K03216	1	1	1
K03217	1	1	1
K03218	1	1	1
K03219	1	1	1
K03220	1	1	1
K03221	1	1	1
K03222	1	1	1
K03223	1	1	1
K03224	1	1	1
K03225	1	1	1
K03226	1	1	1
K03227	1	1	1
K03228	1	1	1
K03229	1	1	1
K03230	1	1	1
K03248	1	1	1
K03269	1	1	1
K03270	1	1	1
K03271	2	2	2
K03272	1	1	1
K03273	1	1	1
K03274	1	1	1
K03281	1	1	1
K03282	1	1	1
K03284	1	1	1
K03286	6	8	8
K03291	1	1	1
K03298	1	1	1
K03299	3	3	3
K03304	1	1	1
K03305	3	3	3
K03306	1	1	1
K03307	2	2	2
K03308	2	2	2
K03310	3	3	3
K03311	2	2	2
K03312	1	1	1
K03313	1	1	1
K03314	1	1	1
K03315	1	2	2
K03316	1	1	1
K03317	3	3	3
K03319	0	1	1
K03320	1	1	1
K03321	2	2	2
K03322	1	1	1
K03325	1	1	1
K03326	3	2	2
K03385	1	1	1
K03386	1	1	1
K03387	1	1	1
K03402	2	2	2
K03406	40	39	39
K03407	2	2	2
K03408	3	3	3
K03409	2	2	2
K03410	1	1	1
K03411	1	1	1
K03412	2	2	2
K03413	3	3	3
K03414	1	1	1
K03415	4	4	4
K03417	1	1	1
K03424	3	3	3
K03426	1	1	1
K03427	0	4	4
K03430	1	1	1
K03431	1	1	1
K03435	1	1	1
K03438	1	1	1
K03439	1	1	1
K03442	1	1	1
K03445	0	1	1
K03446	1	1	1
K03449	2	2	2
K03455	1	1	1
K03466	1	1	1
K03468	0	1	1
K03469	1	1	1
K03470	1	1	1
K03472	1	1	1
K03473	1	1	1
K03474	1	1	1
K03475	2	1	1
K03476	1	0	0
K03477	1	0	0
K03482	0	1	1
K03485	1	1	1
K03491	1	1	1
K03495	1	1	1
K03496	3	5	6
K03497	1	1	1
K03498	3	3	3
K03499	2	2	2
K03500	2	2	2
K03501	1	1	1
K03502	2	1	1
K03503	2	1	1
K03517	1	1	1
K03521	1	1	1
K03522	1	1	1
K03524	1	1	1
K03526	1	1	1
K03527	1	1	1
K03528	1	1	1
K03529	1	1	1
K03530	2	2	2
K03531	1	1	1
K03532	2	2	2
K03533	1	1	1
K03536	1	1	1
K03543	1	1	1
K03544	1	1	1
K03545	1	1	1
K03546	1	1	1
K03547	1	1	1
K03548	1	1	1
K03549	1	1	1
K03550	1	1	1
K03551	1	1	1
K03553	1	1	1
K03554	2	1	1
K03555	1	1	1
K03557	1	1	1
K03558	1	1	1
K03559	3	3	3
K03561	5	5	5
K03562	1	1	1
K03563	1	1	1
K03564	1	1	1
K03565	1	1	1
K03566	5	5	5
K03567	2	2	2
K03568	2	2	2
K03569	1	1	1
K03570	1	1	1
K03571	1	1	1
K03572	1	1	1
K03573	1	1	1
K03574	4	6	6
K03575	1	1	1
K03576	1	1	1
K03578	1	1	1
K03579	1	1	1
K03580	1	1	1
K03581	1	1	1
K03582	1	1	1
K03583	1	1	1
K03584	1	1	1
K03585	7	7	7
K03586	1	1	1
K03587	1	1	1
K03588	1	1	1
K03589	1	1	1
K03590	1	1	1
K03591	1	1	1
K03592	2	2	2
K03593	1	1	1
K03594	1	1	1
K03595	1	1	1
K03596	1	1	1
K03597	1	1	1
K03598	1	1	1
K03599	1	1	1
K03600	1	1	1
K03601	1	1	1
K03602	1	1	1
K03603	1	1	1
K03605	1	1	1
K03606	1	0	0
K03607	1	1	1
K03608	1	1	1
K03609	1	1	1
K03610	1	1	1
K03611	1	1	1
K03612	1	1	1
K03613	1	1	1
K03614	1	1	1
K03615	1	1	1
K03616	1	1	1
K03617	1	1	1
K03621	1	1	1
K03624	1	1	1
K03625	1	1	1
K03628	1	1	1
K03629	1	1	1
K03630	4	3	3
K03631	1	1	1
K03632	1	1	1
K03633	1	1	1
K03634	2	2	2
K03635	1	1	1
K03636	1	1	1
K03637	1	1	1
K03638	1	1	1
K03639	1	1	1
K03640	1	1	1
K03641	1	1	1
K03642	2	2	2
K03643	1	1	1
K03644	1	1	1
K03645	1	1	1
K03646	1	1	1
K03648	1	1	1
K03650	1	1	1
K03651	1	1	1
K03654	1	1	1
K03655	1	1	1
K03656	1	1	1
K03657	3	2	2
K03658	0	1	1
K03664	1	1	1
K03665	1	1	1
K03666	2	2	2
K03667	1	1	1
K03668	2	2	2
K03671	2	2	2
K03672	1	1	1
K03673	2	3	3
K03674	1	1	1
K03683	1	1	1
K03684	1	1	1
K03685	1	1	1
K03686	1	1	1
K03687	1	1	1
K03688	1	1	1
K03690	1	1	1
K03694	1	1	1
K03695	1	1	1
K03699	3	3	3
K03701	1	1	1
K03702	1	1	1
K03703	1	1	1
K03704	4	4	4
K03710	2	4	4
K03711	1	1	1
K03717	2	2	2
K03718	1	1	1
K03719	3	3	3
K03721	1	1	1
K03722	2	2	2
K03723	1	1	1
K03724	1	0	0
K03732	1	1	1
K03733	1	1	1
K03734	2	2	2
K03737	2	3	3
K03743	1	1	1
K03744	1	1	1
K03745	1	1	1
K03746	4	7	7
K03747	1	1	1
K03748	1	1	1
K03749	1	1	1
K03750	2	2	2
K03752	1	1	1
K03753	1	1	1
K03757	1	1	1
K03758	2	2	2
K03760	1	1	1
K03762	1	1	1
K03764	1	1	1
K03765	1	1	1
K03768	1	1	1
K03770	1	1	1
K03771	1	1	1
K03772	3	3	3
K03773	2	2	2
K03774	1	1	1
K03775	1	1	1
K03776	4	4	4
K03778	1	1	1
K03781	1	1	1
K03782	1	1	1
K03784	1	1	1
K03786	1	1	1
K03787	1	1	1
K03788	1	1	1
K03789	3	3	3
K03790	1	1	1
K03797	1	1	1
K03798	1	1	1
K03799	1	1	1
K03800	1	1	1
K03801	1	1	1
K03803	1	1	1
K03804	1	1	1
K03806	1	1	1
K03808	3	3	3
K03810	1	1	1
K03811	1	1	1
K03812	1	1	1
K03814	1	1	1
K03817	2	1	1
K03820	1	1	1
K03824	1	1	1
K03825	1	1	1
K03826	2	2	2
K03827	1	1	1
K03828	1	1	1
K03830	2	2	2
K03831	1	1	1
K03832	3	3	3
K03833	1	1	1
K03834	1	1	1
K03835	1	1	1
K03837	4	4	4
K03838	0	1	1
K03839	2	2	2
K03840	1	1	1
K03841	1	1	1
K03885	1	1	1
K03892	2	2	2
K03924	4	4	4
K03925	1	1	1
K03926	1	1	1
K03928	1	1	1
K03931	0	1	1
K03969	2	2	2
K03970	1	1	1
K03972	2	1	1
K03973	1	1	1
K03974	1	1	1
K03975	3	3	3
K03976	1	1	1
K03977	1	1	1
K03978	1	1	1
K03979	1	1	1
K03980	1	1	1
K03981	1	1	1
K04013	1	1	1
K04014	1	1	1
K04015	1	1	1
K04018	1	1	1
K04042	1	1	1
K04043	1	1	1
K04044	1	1	1
K04046	1	1	1
K04047	2	2	2
K04049	1	1	1
K04050	1	1	1
K04051	1	1	1
K04052	1	1	1
K04053	1	1	1
K04054	1	1	1
K04056	1	1	1
K04057	1	1	1
K04058	1	1	1
K04059	1	1	1
K04060	1	1	1
K04062	0	1	1
K04066	1	1	1
K04068	1	1	1
K04069	3	3	3
K04072	1	1	1
K04075	1	1	1
K04077	1	1	1
K04078	1	1	1
K04079	1	1	1
K04080	2	2	2
K04082	1	1	1
K04083	1	1	1
K04084	1	1	1
K04085	2	2	2
K04087	1	1	1
K04088	1	1	1
K04095	1	0	0
K04096	1	1	1
K04334	1	1	1
K04335	1	1	1
K04337	1	1	1
K04338	1	1	1
K04477	1	1	1
K04485	1	1	1
K04487	1	1	1
K04488	1	1	1
K04562	1	1	1
K04564	2	2	2
K04567	1	1	1
K04651	1	1	1
K04652	1	1	1
K04653	1	1	1
K04654	1	1	1
K04655	1	1	1
K04656	1	1	1
K04691	1	1	1
K04744	1	1	1
K04749	2	2	2
K04751	2	2	2
K04752	2	2	2
K04754	1	1	1
K04755	1	1	1
K04757	1	1	1
K04758	1	1	1
K04759	1	1	1
K04760	1	1	1
K04761	2	2	2
K04762	1	1	1
K04763	1	1	1
K04764	1	1	1
K04765	1	1	1
K04767	1	1	1
K04770	1	1	1
K04771	1	1	1
K04772	1	1	1
K04773	1	1	1
K04774	1	1	1
K05306	1	1	1
K05365	1	1	1
K05366	1	1	1
K05367	1	1	1
K05368	1	1	1
K05501	1	1	1
K05515	1	1	1
K05517	1	1	1
K05523	1	1	1
K05526	1	1	1
K05527	1	1	1
K05539	1	1	1
K05540	1	1	1
K05541	1	1	1
K05589	1	1	1
K05590	1	1	1
K05591	1	1	1
K05592	1	1	1
K05595	3	3	3
K05596	1	1	1
K05601	1	1	1
K05605	1	1	1
K05685	1	1	1
K05772	1	1	1
K05773	1	1	1
K05775	1	1	1
K05777	1	1	1
K05778	1	1	1
K05779	1	1	1
K05782	1	1	1
K05785	1	1	1
K05786	2	2	2
K05787	1	1	1
K05788	1	1	1
K05796	1	1	1
K05798	1	1	1
K05799	1	1	1
K05801	2	2	2
K05802	1	1	1
