gene_callers_id	source	accession	function	e_value
26	KEGG_BRITE	ko00001!!!ko01000!!!ko01002	KEGG Orthology (KO)>>>09100 Metabolism>>>09106 Metabolism of other amino acids>>>00480 Glutathione metabolism [PATH:ko00480]!!!Enzymes>>>3. Hydrolases>>>3.4  Acting on peptide bonds (peptidases)>>>3.4.11  Aminopeptidases>>>3.4.11.23  PepB aminopeptidase!!!Peptidases and inhibitors>>>Metallo peptidases>>>Family M17: leucyl aminopeptidase family	0.0
27	KOfam	K07751	PepB aminopeptidase [EC:3.4.11.23]	4.3e-197
27	KEGG_BRITE	ko00001!!!ko01000!!!ko01002	KEGG Orthology (KO)>>>09100 Metabolism>>>09106 Metabolism of other amino acids>>>00480 Glutathione metabolism [PATH:ko00480]!!!Enzymes>>>3. Hydrolases>>>3.4  Acting on peptide bonds (peptidases)>>>3.4.11  Aminopeptidases>>>3.4.11.23  PepB aminopeptidase!!!Peptidases and inhibitors>>>Metallo peptidases>>>Family M17: leucyl aminopeptidase family	0.0
28	KOfam	K00940	nucleoside-diphosphate kinase [EC:2.7.4.6]	4.5e-61
28	KEGG_Module	M00049!!!M00050!!!M00053!!!M00052!!!M00938	Adenine ribonucleotide biosynthesis, IMP => ADP,ATP!!!Guanine ribonucleotide biosynthesis, IMP => GDP,GTP!!!Deoxyribonucleotide biosynthesis, ADP/GDP/CDP/UDP => dATP/dGTP/dCTP/dUTP!!!Pyrimidine ribonucleotide biosynthesis, UMP => UDP/UTP,CDP/CTP!!!Pyrimidine deoxyribonucleotide biosynthesis, UDP => dTTP	0.0
28	KEGG_Class	M00049!!!M00050!!!M00053!!!M00052!!!M00938	Pathway modules; Nucleotide metabolism; Purine metabolism!!!Pathway modules; Nucleotide metabolism; Purine metabolism!!!Pathway modules; Nucleotide metabolism; Purine metabolism!!!Pathway modules; Nucleotide metabolism; Pyrimidine metabolism!!!Pathway modules; Nucleotide metabolism; Pyrimidine metabolism	0.0
28	KEGG_BRITE	ko00001!!!ko00001!!!ko00001!!!ko00001!!!ko01000!!!ko04131	KEGG Orthology (KO)>>>09100 Metabolism>>>09104 Nucleotide metabolism>>>00230 Purine metabolism [PATH:ko00230]!!!KEGG Orthology (KO)>>>09100 Metabolism>>>09104 Nucleotide metabolism>>>00240 Pyrimidine metabolism [PATH:ko00240]!!!KEGG Orthology (KO)>>>09100 Metabolism>>>09111 Xenobiotics biodegradation and metabolism>>>00983 Drug metabolism - other enzymes [PATH:ko00983]!!!KEGG Orthology (KO)>>>09130 Environmental Information Processing>>>09132 Signal transduction>>>04016 MAPK signaling pathway - plant [PATH:ko04016]!!!Enzymes>>>2. Transferases>>>2.7  Transferring phosphorus-containing groups>>>2.7.4  Phosphotransferases with a phosphate group as acceptor>>>2.7.4.6  nucleoside-diphosphate kinase!!!Membrane trafficking>>>Exocytosis>>>Calcium ion-dependent exocytosis>>>Kinases and associated proteins	0.0
29	KOfam	K06941	23S rRNA (adenine2503-C2)-methyltransferase [EC:2.1.1.192]	9.5e-159
29	KEGG_BRITE	ko01000!!!ko03009	Enzymes>>>2. Transferases>>>2.1  Transferring one-carbon groups>>>2.1.1  Methyltransferases>>>2.1.1.192  23S rRNA (adenine2503-C2)-methyltransferase!!!Ribosome biogenesis>>>Prokaryotic type>>>rRNA modification factors>>>23S rRNA modification factors	0.0
30	KOfam	K02656	type IV pilus assembly protein PilF	1e-82
30	KEGG_BRITE	ko02044!!!ko02035	Secretion system>>>Type II secretion system>>>Pilin secretion/fimbrial assembly protein!!!Bacterial motility proteins>>>Pilus system>>>Pilus assembly proteins	0.0
31	KOfam	K15539	cytoskeleton protein RodZ	3.1e-75
31	KEGG_BRITE	ko00001	KEGG Orthology (KO)>>>09190 Not Included in Pathway or Brite>>>09193 Unclassified: signaling and cellular processes>>>99992 Structural proteins	0.0
32	KOfam	K03526	(E)-4-hydroxy-3-methylbut-2-enyl-diphosphate synthase [EC:1.17.7.1 1.17.7.3]	7.9e-165
32	KEGG_Module	M00096	C5 isoprenoid biosynthesis, non-mevalonate pathway	0.0
32	KEGG_Class	M00096	Pathway modules; Biosynthesis of terpenoids and polyketides; Terpenoid backbone biosynthesis	0.0
32	KEGG_BRITE	ko00001!!!ko01000!!!ko01000	KEGG Orthology (KO)>>>09100 Metabolism>>>09109 Metabolism of terpenoids and polyketides>>>00900 Terpenoid backbone biosynthesis [PATH:ko00900]!!!Enzymes>>>1. Oxidoreductases>>>1.17  Acting on CH or CH2 groups>>>1.17.7  With an iron-sulfur protein as acceptor>>>1.17.7.1  (E)-4-hydroxy-3-methylbut-2-enyl-diphosphate synthase (ferredoxin)!!!Enzymes>>>1. Oxidoreductases>>>1.17  Acting on CH or CH2 groups>>>1.17.7  With an iron-sulfur protein as acceptor>>>1.17.7.3  (E)-4-hydroxy-3-methylbut-2-enyl-diphosphate synthase (flavodoxin)	0.0
33	KOfam	K01892	histidyl-tRNA synthetase [EC:6.1.1.21]	6.2e-107
33	KEGG_BRITE	ko00001!!!ko01000!!!ko01007!!!ko03016!!!ko03016	KEGG Orthology (KO)>>>09120 Genetic Information Processing>>>09122 Translation>>>00970 Aminoacyl-tRNA biosynthesis [PATH:ko00970]!!!Enzymes>>>6. Ligases>>>6.1  Forming carbon-oxygen bonds>>>6.1.1  Ligases forming aminoacyl-tRNA and related compounds>>>6.1.1.21  histidine---tRNA ligase!!!Amino acid related enzymes>>>Aminoacyl-tRNA synthetase>>>Class II (A)!!!Transfer RNA biogenesis>>>Eukaryotic type>>>Aminoacyl-tRNA synthetases (AARSs)>>>Other AARSs!!!Transfer RNA biogenesis>>>Prokaryotic type>>>Aminoacyl-tRNA synthetases (AARSs)>>>Other AARSs	0.0
35	KOfam	K17713	outer membrane protein assembly factor BamB	3.8e-86
35	KEGG_BRITE	ko02000	Transporters>>>Other transporters>>>Pores ion channels [TC:1]	0.0
36	KOfam	K03977	GTPase	2.8e-196
36	KEGG_BRITE	ko03009	Ribosome biogenesis>>>Prokaryotic type>>>GTPases	0.0
39	KOfam	K02030	polar amino acid transport system substrate-binding protein	1.4e-28
39	KOfam	K18691	peptidoglycan lytic transglycosylase F [EC:4.2.2.29]	3.7e-192
39	KEGG_BRITE	ko02000	Transporters>>>ABC transporters, prokaryotic type>>>Phosphate and amino acid transporters>>>Putative polar amino acid transporter	0.0
39	KEGG_BRITE	ko01000!!!ko01011	Enzymes>>>4. Lyases>>>4.2  Carbon-oxygen lyases>>>4.2.2  Acting on polysaccharides>>>4.2.2.29  peptidoglycan lytic transglycosylase!!!Peptidoglycan biosynthesis and degradation proteins>>>Peptidoglycan biosynthesis and degradation>>>Lytic transglycosylase	0.0
40	KOfam	K01952	phosphoribosylformylglycinamidine synthase [EC:6.3.5.3]	0
40	KEGG_Module	M00048	De novo purine biosynthesis, PRPP + glutamine => IMP	0.0
40	KEGG_Class	M00048	Pathway modules; Nucleotide metabolism; Purine metabolism	0.0
40	KEGG_BRITE	ko00001!!!ko01000	KEGG Orthology (KO)>>>09100 Metabolism>>>09104 Nucleotide metabolism>>>00230 Purine metabolism [PATH:ko00230]!!!Enzymes>>>6. Ligases>>>6.3  Forming carbon-nitrogen bonds>>>6.3.5  Carbon-nitrogen ligases with glutamine as amido-N-donor>>>6.3.5.3  phosphoribosylformylglycinamidine synthase	0.0
44	KOfam	K00343	NADH-quinone oxidoreductase subunit N [EC:7.1.1.2]	2.4e-144
44	KEGG_Module	M00144	NADH:quinone oxidoreductase, prokaryotes	0.0
44	KEGG_Class	M00144	Pathway modules; Energy metabolism; ATP synthesis	0.0
44	KEGG_BRITE	ko00001!!!ko01000	KEGG Orthology (KO)>>>09100 Metabolism>>>09102 Energy metabolism>>>00190 Oxidative phosphorylation [PATH:ko00190]!!!Enzymes>>>7. Translocases>>>7.1  Catalysing the translocation of protons>>>7.1.1  Linked to oxidoreductase reactions>>>7.1.1.2  NADH:ubiquinone reductase (H+-translocating)	0.0
45	KOfam	K00342	NADH-quinone oxidoreductase subunit M [EC:7.1.1.2]	7.4e-190
45	KEGG_Module	M00144	NADH:quinone oxidoreductase, prokaryotes	0.0
45	KEGG_Class	M00144	Pathway modules; Energy metabolism; ATP synthesis	0.0
45	KEGG_BRITE	ko00001!!!ko01000	KEGG Orthology (KO)>>>09100 Metabolism>>>09102 Energy metabolism>>>00190 Oxidative phosphorylation [PATH:ko00190]!!!Enzymes>>>7. Translocases>>>7.1  Catalysing the translocation of protons>>>7.1.1  Linked to oxidoreductase reactions>>>7.1.1.2  NADH:ubiquinone reductase (H+-translocating)	0.0
46	KOfam	K00341	NADH-quinone oxidoreductase subunit L [EC:7.1.1.2]	3.4e-214
46	KEGG_Module	M00144	NADH:quinone oxidoreductase, prokaryotes	0.0
46	KEGG_Class	M00144	Pathway modules; Energy metabolism; ATP synthesis	0.0
46	KEGG_BRITE	ko00001!!!ko01000	KEGG Orthology (KO)>>>09100 Metabolism>>>09102 Energy metabolism>>>00190 Oxidative phosphorylation [PATH:ko00190]!!!Enzymes>>>7. Translocases>>>7.1  Catalysing the translocation of protons>>>7.1.1  Linked to oxidoreductase reactions>>>7.1.1.2  NADH:ubiquinone reductase (H+-translocating)	0.0
47	KOfam	K00340	NADH-quinone oxidoreductase subunit K [EC:7.1.1.2]	4.4e-39
47	KEGG_Module	M00144	NADH:quinone oxidoreductase, prokaryotes	0.0
47	KEGG_Class	M00144	Pathway modules; Energy metabolism; ATP synthesis	0.0
47	KEGG_BRITE	ko00001!!!ko01000	KEGG Orthology (KO)>>>09100 Metabolism>>>09102 Energy metabolism>>>00190 Oxidative phosphorylation [PATH:ko00190]!!!Enzymes>>>7. Translocases>>>7.1  Catalysing the translocation of protons>>>7.1.1  Linked to oxidoreductase reactions>>>7.1.1.2  NADH:ubiquinone reductase (H+-translocating)	0.0
48	KOfam	K00339	NADH-quinone oxidoreductase subunit J [EC:7.1.1.2]	1.7e-44
48	KEGG_Module	M00144	NADH:quinone oxidoreductase, prokaryotes	0.0
48	KEGG_Class	M00144	Pathway modules; Energy metabolism; ATP synthesis	0.0
48	KEGG_BRITE	ko00001!!!ko01000	KEGG Orthology (KO)>>>09100 Metabolism>>>09102 Energy metabolism>>>00190 Oxidative phosphorylation [PATH:ko00190]!!!Enzymes>>>7. Translocases>>>7.1  Catalysing the translocation of protons>>>7.1.1  Linked to oxidoreductase reactions>>>7.1.1.2  NADH:ubiquinone reductase (H+-translocating)	0.0
49	KOfam	K00338	NADH-quinone oxidoreductase subunit I [EC:7.1.1.2]	2.2e-57
49	KEGG_Module	M00144	NADH:quinone oxidoreductase, prokaryotes	0.0
49	KEGG_Class	M00144	Pathway modules; Energy metabolism; ATP synthesis	0.0
49	KEGG_BRITE	ko00001!!!ko01000	KEGG Orthology (KO)>>>09100 Metabolism>>>09102 Energy metabolism>>>00190 Oxidative phosphorylation [PATH:ko00190]!!!Enzymes>>>7. Translocases>>>7.1  Catalysing the translocation of protons>>>7.1.1  Linked to oxidoreductase reactions>>>7.1.1.2  NADH:ubiquinone reductase (H+-translocating)	0.0
50	KOfam	K00337	NADH-quinone oxidoreductase subunit H [EC:7.1.1.2]	6.9e-147
50	KEGG_Module	M00144	NADH:quinone oxidoreductase, prokaryotes	0.0
50	KEGG_Class	M00144	Pathway modules; Energy metabolism; ATP synthesis	0.0
50	KEGG_BRITE	ko00001!!!ko01000	KEGG Orthology (KO)>>>09100 Metabolism>>>09102 Energy metabolism>>>00190 Oxidative phosphorylation [PATH:ko00190]!!!Enzymes>>>7. Translocases>>>7.1  Catalysing the translocation of protons>>>7.1.1  Linked to oxidoreductase reactions>>>7.1.1.2  NADH:ubiquinone reductase (H+-translocating)	0.0
51	KOfam	K00336	NADH-quinone oxidoreductase subunit G [EC:7.1.1.2]	1.6e-217
51	KEGG_Module	M00144	NADH:quinone oxidoreductase, prokaryotes	0.0
51	KEGG_Class	M00144	Pathway modules; Energy metabolism; ATP synthesis	0.0
51	KEGG_BRITE	ko00001!!!ko01000	KEGG Orthology (KO)>>>09100 Metabolism>>>09102 Energy metabolism>>>00190 Oxidative phosphorylation [PATH:ko00190]!!!Enzymes>>>7. Translocases>>>7.1  Catalysing the translocation of protons>>>7.1.1  Linked to oxidoreductase reactions>>>7.1.1.2  NADH:ubiquinone reductase (H+-translocating)	0.0
52	KOfam	K00335	NADH-quinone oxidoreductase subunit F [EC:7.1.1.2]	1.7e-191
52	KEGG_Module	M00144	NADH:quinone oxidoreductase, prokaryotes	0.0
52	KEGG_Class	M00144	Pathway modules; Energy metabolism; ATP synthesis	0.0
52	KEGG_BRITE	ko00001!!!ko01000	KEGG Orthology (KO)>>>09100 Metabolism>>>09102 Energy metabolism>>>00190 Oxidative phosphorylation [PATH:ko00190]!!!Enzymes>>>7. Translocases>>>7.1  Catalysing the translocation of protons>>>7.1.1  Linked to oxidoreductase reactions>>>7.1.1.2  NADH:ubiquinone reductase (H+-translocating)	0.0
53	KOfam	K00334	NADH-quinone oxidoreductase subunit E [EC:7.1.1.2]	4.5e-58
53	KEGG_Module	M00144	NADH:quinone oxidoreductase, prokaryotes	0.0
53	KEGG_Class	M00144	Pathway modules; Energy metabolism; ATP synthesis	0.0
53	KEGG_BRITE	ko00001!!!ko01000	KEGG Orthology (KO)>>>09100 Metabolism>>>09102 Energy metabolism>>>00190 Oxidative phosphorylation [PATH:ko00190]!!!Enzymes>>>7. Translocases>>>7.1  Catalysing the translocation of protons>>>7.1.1  Linked to oxidoreductase reactions>>>7.1.1.2  NADH:ubiquinone reductase (H+-translocating)	0.0
54	KOfam	K13378	NADH-quinone oxidoreductase subunit C/D [EC:7.1.1.2]	5.6e-253
54	KEGG_Module	M00144	NADH:quinone oxidoreductase, prokaryotes	0.0
54	KEGG_Class	M00144	Pathway modules; Energy metabolism; ATP synthesis	0.0
54	KEGG_BRITE	ko00001!!!ko01000	KEGG Orthology (KO)>>>09100 Metabolism>>>09102 Energy metabolism>>>00190 Oxidative phosphorylation [PATH:ko00190]!!!Enzymes>>>7. Translocases>>>7.1  Catalysing the translocation of protons>>>7.1.1  Linked to oxidoreductase reactions>>>7.1.1.2  NADH:ubiquinone reductase (H+-translocating)	0.0
55	KOfam	K00331	NADH-quinone oxidoreductase subunit B [EC:7.1.1.2]	9.1e-84
55	KEGG_Module	M00144	NADH:quinone oxidoreductase, prokaryotes	0.0
55	KEGG_Class	M00144	Pathway modules; Energy metabolism; ATP synthesis	0.0
55	KEGG_BRITE	ko00001!!!ko01000	KEGG Orthology (KO)>>>09100 Metabolism>>>09102 Energy metabolism>>>00190 Oxidative phosphorylation [PATH:ko00190]!!!Enzymes>>>7. Translocases>>>7.1  Catalysing the translocation of protons>>>7.1.1  Linked to oxidoreductase reactions>>>7.1.1.2  NADH:ubiquinone reductase (H+-translocating)	0.0
56	KOfam	K00330	NADH-quinone oxidoreductase subunit A [EC:7.1.1.2]	5.5e-53
56	KEGG_Module	M00144	NADH:quinone oxidoreductase, prokaryotes	0.0
56	KEGG_Class	M00144	Pathway modules; Energy metabolism; ATP synthesis	0.0
56	KEGG_BRITE	ko00001!!!ko01000	KEGG Orthology (KO)>>>09100 Metabolism>>>09102 Energy metabolism>>>00190 Oxidative phosphorylation [PATH:ko00190]!!!Enzymes>>>7. Translocases>>>7.1  Catalysing the translocation of protons>>>7.1.1  Linked to oxidoreductase reactions>>>7.1.1.2  NADH:ubiquinone reductase (H+-translocating)	0.0
57	KOfam	K02557	chemotaxis protein MotB	7.9e-66
57	KEGG_BRITE	ko00001!!!ko00001!!!ko02000!!!ko02035	KEGG Orthology (KO)>>>09140 Cellular Processes>>>09142 Cell motility>>>02030 Bacterial chemotaxis [PATH:ko02030]!!!KEGG Orthology (KO)>>>09140 Cellular Processes>>>09142 Cell motility>>>02040 Flagellar assembly [PATH:ko02040]!!!Transporters>>>Other transporters>>>Pores ion channels [TC:1]!!!Bacterial motility proteins>>>Flagellar system>>>Flagellar assembly proteins>>>Stator	0.0
58	KOfam	K02556	chemotaxis protein MotA	3.4e-80
58	KEGG_BRITE	ko00001!!!ko00001!!!ko00001!!!ko02000!!!ko02035	KEGG Orthology (KO)>>>09130 Environmental Information Processing>>>09132 Signal transduction>>>02020 Two-component system [PATH:ko02020]!!!KEGG Orthology (KO)>>>09140 Cellular Processes>>>09142 Cell motility>>>02030 Bacterial chemotaxis [PATH:ko02030]!!!KEGG Orthology (KO)>>>09140 Cellular Processes>>>09142 Cell motility>>>02040 Flagellar assembly [PATH:ko02040]!!!Transporters>>>Other transporters>>>Pores ion channels [TC:1]!!!Bacterial motility proteins>>>Flagellar system>>>Flagellar assembly proteins>>>Stator	0.0
59	KOfam	K08988	putative membrane protein	1.1e-70
59	KEGG_BRITE	ko00001	KEGG Orthology (KO)>>>09190 Not Included in Pathway or Brite>>>09194 Poorly characterized>>>99996 General function prediction only	0.0
60	KOfam	K06872	uncharacterized protein	8.5e-80
60	KEGG_BRITE	ko00001	KEGG Orthology (KO)>>>09190 Not Included in Pathway or Brite>>>09194 Poorly characterized>>>99997 Function unknown	0.0
61	KOfam	K03744	LemA protein	8.4e-78
61	KEGG_BRITE	ko00001	KEGG Orthology (KO)>>>09190 Not Included in Pathway or Brite>>>09194 Poorly characterized>>>99996 General function prediction only	0.0
62	KOfam	K07261	penicillin-insensitive murein DD-endopeptidase [EC:3.4.24.-]	7e-94
62	KEGG_BRITE	ko01002!!!ko01011	Peptidases and inhibitors>>>Metallo peptidases>>>Family M74!!!Peptidoglycan biosynthesis and degradation proteins>>>Peptidoglycan biosynthesis and degradation>>>Endopeptidase	0.0
63	KOfam	K02029	polar amino acid transport system permease protein	5.7e-67
63	KEGG_BRITE	ko02000	Transporters>>>ABC transporters, prokaryotic type>>>Phosphate and amino acid transporters>>>Putative polar amino acid transporter	0.0
64	KOfam	K02030	polar amino acid transport system substrate-binding protein	3e-39
64	KEGG_BRITE	ko02000	Transporters>>>ABC transporters, prokaryotic type>>>Phosphate and amino acid transporters>>>Putative polar amino acid transporter	0.0
65	KOfam	K02029	polar amino acid transport system permease protein	5.9e-71
65	KEGG_BRITE	ko02000	Transporters>>>ABC transporters, prokaryotic type>>>Phosphate and amino acid transporters>>>Putative polar amino acid transporter	0.0
66	KOfam	K02028	polar amino acid transport system ATP-binding protein [EC:7.4.2.1]	3.6e-131
