enzyme	genome_name	db_name	gene_caller_id	contig	modules_with_enzyme	enzyme_definition	warnings
K00245	KMM289	KMM289	3600	c_1	M00009,M00011,M00982,M00150,M00613,M00614	succinate dehydrogenase iron-sulfur subunit [EC:1.3.5.1]	None
K00246	KMM289	KMM289	3599	c_1	M00009,M00011,M00982,M00150,M00613,M00614	succinate dehydrogenase subunit C	None
K00247	KMM289	KMM289	3598	c_1	M00009,M00011,M00982,M00150,M00613,M00614	succinate dehydrogenase subunit D	None
K01676	KMM289	KMM289	396	c_1	M00009,M00011,M00982,M00173,M00613,M00614	fumarate hydratase, class I [EC:4.2.1.2]	None
K01783	KMM289	KMM289	3622	c_1	M00004,M00007,M00165	ribulose-phosphate 3-epimerase [EC:5.1.3.1]	None
K01807	KMM289	KMM289	4081	c_1	M00004,M00007,M00580,M00165,M00611,M00612	ribose 5-phosphate isomerase A [EC:5.3.1.6]	None
K00615	KMM289	KMM289	1499	c_1	M00004,M00007,M00165,M00611,M00612	transketolase [EC:2.2.1.1]	None
K00616	KMM289	KMM289	1514	c_1	M00004,M00007	transaldolase [EC:2.2.1.2]	None
K00948	KMM289	KMM289	3645	c_1	M00005	ribose-phosphate pyrophosphokinase [EC:2.7.6.1]	None
K01690	KMM289	KMM289	2364	c_1	M00008	phosphogluconate dehydratase [EC:4.2.1.12]	None
K01625	KMM289	KMM289	2363	c_1	M00008,M00308,M00631,M00061	2-dehydro-3-deoxyphosphogluconate aldolase / (4S)-4-hydroxy-2-oxoglutarate aldolase [EC:4.1.2.14 4.1.3.42]	None
K01625	KMM289	KMM289	1622	c_1	M00008,M00308,M00631,M00061	2-dehydro-3-deoxyphosphogluconate aldolase / (4S)-4-hydroxy-2-oxoglutarate aldolase [EC:4.1.2.14 4.1.3.42]	None
K00874	KMM289	KMM289	1623	c_1	M00308,M00631,M00061	2-dehydro-3-deoxygluconokinase [EC:2.7.1.45]	None
K00012	KMM289	KMM289	3400	c_1	M00014,M00129,M00997,M00999,M00761	UDPglucose 6-dehydrogenase [EC:1.1.1.22]	None
K17463	KMM289	KMM289	2218	c_1	M00631,M00061	2-dehydro-3-deoxy-phosphogluconate aldolase [EC:4.1.2.14]	None
K01785	KMM289	KMM289	3864	c_1	M00632	aldose 1-epimerase [EC:5.1.3.3]	None
K01785	KMM289	KMM289	2419	c_1	M00632	aldose 1-epimerase [EC:5.1.3.3]	None
K00849	KMM289	KMM289	2418	c_1	M00632,M00554	galactokinase [EC:2.7.1.6]	None
K00965	KMM289	KMM289	2417	c_1	M00632,M00554	UDPglucose--hexose-1-phosphate uridylyltransferase [EC:2.7.7.12]	None
K01784	KMM289	KMM289	2416	c_1	M00632,M01004	UDP-glucose 4-epimerase [EC:5.1.3.2]	None
K01784	KMM289	KMM289	1871	c_1	M00632,M01004	UDP-glucose 4-epimerase [EC:5.1.3.2]	None
K00963	KMM289	KMM289	3312	c_1	M00129,M00854,M00549	UTP--glucose-1-phosphate uridylyltransferase [EC:2.7.7.9]	None
K01809	KMM289	KMM289	4041	c_1	M00114,M01000,M01006	mannose-6-phosphate isomerase [EC:5.3.1.8]	None
K01809	KMM289	KMM289	539	c_1	M00114,M01000,M01006	mannose-6-phosphate isomerase [EC:5.3.1.8]	None
K02821	KMM289	KMM289	1345	c_1	M00550	ascorbate PTS system EIIA or EIIAB component [EC:2.7.1.194]	None
K02821	KMM289	KMM289	2665	c_1	M00550	ascorbate PTS system EIIA or EIIAB component [EC:2.7.1.194]	None
K02822	KMM289	KMM289	2664	c_1	M00550	ascorbate PTS system EIIB component [EC:2.7.1.194]	None
K02822	KMM289	KMM289	1346	c_1	M00550	ascorbate PTS system EIIB component [EC:2.7.1.194]	None
K03475	KMM289	KMM289	1346	c_1	M00550	ascorbate PTS system EIIC component	None
K03475	KMM289	KMM289	2663	c_1	M00550	ascorbate PTS system EIIC component	None
K03476	KMM289	KMM289	1347	c_1	M00550	L-ascorbate 6-phosphate lactonase [EC:3.1.1.-]	None
K03078	KMM289	KMM289	1343	c_1	M00550	3-dehydro-L-gulonate-6-phosphate decarboxylase [EC:4.1.1.85]	None
K03079	KMM289	KMM289	1349	c_1	M00550	L-ribulose-5-phosphate 3-epimerase [EC:5.1.3.22]	None
K03077	KMM289	KMM289	1344	c_1	M00550	L-ribulose-5-phosphate 4-epimerase [EC:5.1.3.4]	None
K00975	KMM289	KMM289	1002	c_1	M00854,M00565	glucose-1-phosphate adenylyltransferase [EC:2.7.7.27]	None
K00975	KMM289	KMM289	134	c_1	M00854,M00565	glucose-1-phosphate adenylyltransferase [EC:2.7.7.27]	None
K00975	KMM289	KMM289	2055	c_1	M00854,M00565	glucose-1-phosphate adenylyltransferase [EC:2.7.7.27]	None
K00703	KMM289	KMM289	2056	c_1	M00854,M00565	starch synthase [EC:2.4.1.21]	None
K00700	KMM289	KMM289	1925	c_1	M00854,M00565	1,4-alpha-glucan branching enzyme [EC:2.4.1.18]	None
K00688	KMM289	KMM289	747	c_1	M00855	glycogen phosphorylase [EC:2.4.1.1]	None
K00705	KMM289	KMM289	1924	c_1	M00855	4-alpha-glucanotransferase [EC:2.4.1.25]	None
K01200	KMM289	KMM289	2017	c_1	M00855	pullulanase [EC:3.2.1.41]	None
K01835	KMM289	KMM289	1111	c_1	M00855,M00549	phosphoglucomutase [EC:5.4.2.2]	None
K01214	KMM289	KMM289	1926	c_1	M00565	isoamylase [EC:3.2.1.68]	None
K01637	KMM289	KMM289	1036	c_1	M00012,M00982	isocitrate/methylisocitrate lyase [EC:4.1.3.1 4.1.3.30]	None
K01638	KMM289	KMM289	1035	c_1	M00012	malate synthase [EC:2.3.3.9]	None
K00626	KMM289	KMM289	374	c_1	M00373,M00375,M00374,M00088,M00957,M00095,M00849	acetyl-CoA C-acetyltransferase [EC:2.3.1.9]	None
K03781	KMM289	KMM289	2275	c_1	M00532	catalase [EC:1.11.1.6]	None
K00600	KMM289	KMM289	1724	c_1	M00532,M00346,M00975,M00140,M00141	glycine hydroxymethyltransferase [EC:2.1.2.1]	None
K00281	KMM289	KMM289	4184	c_1	M00532,M00621	glycine cleavage system P protein (glycine dehydrogenase) [EC:1.4.4.2]	None
K00605	KMM289	KMM289	4182	c_1	M00532,M00621	glycine cleavage system T protein (aminomethyltransferase) [EC:2.1.2.10]	None
K02437	KMM289	KMM289	4183	c_1	M00532	glycine cleavage system H protein	None
K05605	KMM289	KMM289	279	c_1	M00013	3-hydroxyisobutyryl-CoA hydrolase [EC:3.1.2.4]	None
K00140	KMM289	KMM289	2732	c_1	M00013,M00991,M00992	malonate-semialdehyde dehydrogenase (acetylating) / methylmalonate-semialdehyde dehydrogenase [EC:1.2.1.18 1.2.1.27]	None
K01720	KMM289	KMM289	441	c_1	M00982	2-methylcitrate dehydratase [EC:4.2.1.79]	None
K03417	KMM289	KMM289	439	c_1	M00982	methylisocitrate lyase [EC:4.1.3.30]	None
K00757	KMM289	KMM289	1175	c_1	M00968	uridine phosphorylase [EC:2.4.2.3]	None
K01092	KMM289	KMM289	4171	c_1	M00131	myo-inositol-1(or 4)-monophosphatase [EC:3.1.3.25]	None
K28462	KMM289	KMM289	3453	c_1	M00165	phosphoribulokinase [EC:2.7.1.19]	None
K01595	KMM289	KMM289	2097	c_1	M00168,M00172,M00171,M00170,M00173,M00374,M00346,M00614	phosphoenolpyruvate carboxylase [EC:4.1.1.31]	None
K00029	KMM289	KMM289	3728	c_1	M00169,M00172	malate dehydrogenase (oxaloacetate-decarboxylating)(NADP+) [EC:1.1.1.40]	None
K00029	KMM289	KMM289	1437	c_1	M00169,M00172	malate dehydrogenase (oxaloacetate-decarboxylating)(NADP+) [EC:1.1.1.40]	None
K00029	KMM289	KMM289	1407	c_1	M00169,M00172	malate dehydrogenase (oxaloacetate-decarboxylating)(NADP+) [EC:1.1.1.40]	None
K01007	KMM289	KMM289	4191	c_1	M00173,M00374,M00614	pyruvate, water dikinase [EC:2.7.9.2]	None
K01961	KMM289	KMM289	1739	c_1	M00376,M00082,M00613	acetyl-CoA carboxylase, biotin carboxylase subunit [EC:6.4.1.2 6.3.4.14]	None
K01962	KMM289	KMM289	1516	c_1	M00376,M00082,M00613	acetyl-CoA carboxylase carboxyl transferase subunit alpha [EC:6.4.1.2 2.1.3.15]	None
K01963	KMM289	KMM289	856	c_1	M00376,M00082,M00613	acetyl-CoA carboxylase carboxyl transferase subunit beta [EC:6.4.1.2 2.1.3.15]	None
K02160	KMM289	KMM289	1738	c_1	M00376,M00082,M00613	acetyl-CoA carboxylase biotin carboxyl carrier protein	None
K22015	KMM289	KMM289	343	c_1	M00377	formate dehydrogenase (hydrogenase) / hydrogen-dependent carbon dioxide reductase [EC:1.17.98.4 1.17.98.5]	None
K01938	KMM289	KMM289	3904	c_1	M00377,M00140,M00618	formate--tetrahydrofolate ligase [EC:6.3.4.3]	None
K01491	KMM289	KMM289	107	c_1	M00377,M00140,M00618	methylenetetrahydrofolate dehydrogenase (NADP+) / methenyltetrahydrofolate cyclohydrolase [EC:1.5.1.5 3.5.4.9]	None
K00297	KMM289	KMM289	2995	c_1	M00377,M00618	methylenetetrahydrofolate reductase (NADH) [EC:1.5.1.54]	None
K13788	KMM289	KMM289	3314	c_1	M00579,M00617,M00618	phosphate acetyltransferase [EC:2.3.1.8]	None
K00925	KMM289	KMM289	1833	c_1	M00579,M00357,M00617,M00618	acetate kinase [EC:2.7.2.1]	None
K00925	KMM289	KMM289	3315	c_1	M00579,M00357,M00617,M00618	acetate kinase [EC:2.7.2.1]	None
K01895	KMM289	KMM289	1736	c_1	M00357,M00617	acetyl-CoA synthetase [EC:6.2.1.1]	None
K00018	KMM289	KMM289	3576	c_1	M00346	glycerate dehydrogenase [EC:1.1.1.29]	None
K02567	KMM289	KMM289	3885	c_1	M00530,M00529	nitrate reductase (cytochrome) [EC:1.9.6.1]	None
K02568	KMM289	KMM289	3888	c_1	M00530,M00529	nitrate reductase (cytochrome), electron transfer subunit	None
K00362	KMM289	KMM289	2428	c_1	M00530	nitrite reductase (NADH) large subunit [EC:1.7.1.15]	None
K00363	KMM289	KMM289	2429	c_1	M00530	nitrite reductase (NADH) small subunit [EC:1.7.1.15]	None
K03385	KMM289	KMM289	702	c_1	M00530	nitrite reductase (cytochrome c-552) [EC:1.7.2.2]	None
K00957	KMM289	KMM289	1916	c_1	M00176,M00616	sulfate adenylyltransferase subunit 2 [EC:2.7.7.4]	None
K00956	KMM289	KMM289	1915	c_1	M00176,M00616	sulfate adenylyltransferase subunit 1 [EC:2.7.7.4]	None
K00860	KMM289	KMM289	1913	c_1	M00176,M00616	adenylylsulfate kinase [EC:2.7.1.25]	None
K00390	KMM289	KMM289	3521	c_1	M00176,M00616	phosphoadenosine phosphosulfate reductase [EC:1.8.4.8 1.8.4.10]	None
K00380	KMM289	KMM289	3523	c_1	M00176,M00616	sulfite reductase (NADPH) flavoprotein alpha-component [EC:1.8.1.2]	None
K00381	KMM289	KMM289	3522	c_1	M00176,M00616	sulfite reductase (NADPH) hemoprotein beta-component [EC:1.8.1.2]	None
K18367	KMM289	KMM289	2788	c_1	M00986	CoA-dependent NAD(P)H sulfur oxidoreductase [EC:1.8.1.18]	None
K17230	KMM289	KMM289	2761	c_1	M00985	cytochrome subunit of sulfide dehydrogenase	None
K17230	KMM289	KMM289	2386	c_1	M00985	cytochrome subunit of sulfide dehydrogenase	None
K20034	KMM289	KMM289	573	c_1	M00990	3-(methylthio)propionyl---CoA ligase [EC:6.2.1.44]	None
K19745	KMM289	KMM289	2667	c_1	M00993	acrylyl-CoA reductase (NADPH) [EC:1.3.1.-]	None
K00330	KMM289	KMM289	56	c_1	M00144	NADH-quinone oxidoreductase subunit A [EC:7.1.1.2]	None
K00331	KMM289	KMM289	55	c_1	M00144	NADH-quinone oxidoreductase subunit B [EC:7.1.1.2]	None
K13378	KMM289	KMM289	54	c_1	M00144	NADH-quinone oxidoreductase subunit C/D [EC:7.1.1.2]	None
K00334	KMM289	KMM289	53	c_1	M00144	NADH-quinone oxidoreductase subunit E [EC:7.1.1.2]	None
K00335	KMM289	KMM289	52	c_1	M00144	NADH-quinone oxidoreductase subunit F [EC:7.1.1.2]	None
K00336	KMM289	KMM289	51	c_1	M00144	NADH-quinone oxidoreductase subunit G [EC:7.1.1.2]	None
K00337	KMM289	KMM289	50	c_1	M00144	NADH-quinone oxidoreductase subunit H [EC:7.1.1.2]	None
K00338	KMM289	KMM289	49	c_1	M00144	NADH-quinone oxidoreductase subunit I [EC:7.1.1.2]	None
K00339	KMM289	KMM289	48	c_1	M00144	NADH-quinone oxidoreductase subunit J [EC:7.1.1.2]	None
K00340	KMM289	KMM289	47	c_1	M00144	NADH-quinone oxidoreductase subunit K [EC:7.1.1.2]	None
K00341	KMM289	KMM289	46	c_1	M00144	NADH-quinone oxidoreductase subunit L [EC:7.1.1.2]	None
K00342	KMM289	KMM289	45	c_1	M00144	NADH-quinone oxidoreductase subunit M [EC:7.1.1.2]	None
K00343	KMM289	KMM289	44	c_1	M00144	NADH-quinone oxidoreductase subunit N [EC:7.1.1.2]	None
K00411	KMM289	KMM289	2204	c_1	M00151,M00152	ubiquinol-cytochrome c reductase iron-sulfur subunit [EC:7.1.1.8]	None
K00412	KMM289	KMM289	2203	c_1	M00151,M00152	ubiquinol-cytochrome c reductase cytochrome b subunit	None
K00413	KMM289	KMM289	2202	c_1	M00151,M00152	ubiquinol-cytochrome c reductase cytochrome c1 subunit	None
K00425	KMM289	KMM289	1952	c_1	M00153	cytochrome bd ubiquinol oxidase subunit I [EC:7.1.1.7]	None
K00425	KMM289	KMM289	4116	c_1	M00153	cytochrome bd ubiquinol oxidase subunit I [EC:7.1.1.7]	None
K00426	KMM289	KMM289	4117	c_1	M00153	cytochrome bd ubiquinol oxidase subunit II [EC:7.1.1.7]	None
K00426	KMM289	KMM289	1951	c_1	M00153	cytochrome bd ubiquinol oxidase subunit II [EC:7.1.1.7]	None
K00424	KMM289	KMM289	1950	c_1	M00153	cytochrome bd-I ubiquinol oxidase subunit X [EC:7.1.1.7]	None
K00424	KMM289	KMM289	4118	c_1	M00153	cytochrome bd-I ubiquinol oxidase subunit X [EC:7.1.1.7]	None
K00404	KMM289	KMM289	482	c_1	M00156	cytochrome c oxidase cbb3-type subunit I [EC:7.1.1.9]	None
K00405	KMM289	KMM289	483	c_1	M00156	cytochrome c oxidase cbb3-type subunit II	None
K00407	KMM289	KMM289	484	c_1	M00156	cytochrome c oxidase cbb3-type subunit IV	None
K00406	KMM289	KMM289	485	c_1	M00156	cytochrome c oxidase cbb3-type subunit III	None
K02111	KMM289	KMM289	2552	c_1	M00157	F-type H+/Na+-transporting ATPase subunit alpha [EC:7.1.2.2 7.2.2.1]	None
K02112	KMM289	KMM289	2554	c_1	M00157	F-type H+/Na+-transporting ATPase subunit beta [EC:7.1.2.2 7.2.2.1]	None
K02113	KMM289	KMM289	2551	c_1	M00157	F-type H+-transporting ATPase subunit delta	None
K02114	KMM289	KMM289	2555	c_1	M00157	F-type H+-transporting ATPase subunit epsilon	None
K02115	KMM289	KMM289	2553	c_1	M00157	F-type H+-transporting ATPase subunit gamma	None
K02108	KMM289	KMM289	2548	c_1	M00157	F-type H+-transporting ATPase subunit a	None
K02109	KMM289	KMM289	2550	c_1	M00157	F-type H+-transporting ATPase subunit b	None
K02110	KMM289	KMM289	2549	c_1	M00157	F-type H+-transporting ATPase subunit c	None
K00645	KMM289	KMM289	424	c_1	M00082,M00873,M00874,M00885,M00886	[acyl-carrier-protein] S-malonyltransferase [EC:2.3.1.39]	None
K00648	KMM289	KMM289	1680	c_1	M00082	3-oxoacyl-[acyl-carrier-protein] synthase III [EC:2.3.1.180]	None
K00648	KMM289	KMM289	423	c_1	M00082	3-oxoacyl-[acyl-carrier-protein] synthase III [EC:2.3.1.180]	None
K00647	KMM289	KMM289	3424	c_1	M00083,M00572	3-oxoacyl-[acyl-carrier-protein] synthase I [EC:2.3.1.41]	None
K00647	KMM289	KMM289	656	c_1	M00083,M00572	3-oxoacyl-[acyl-carrier-protein] synthase I [EC:2.3.1.41]	None
K09458	KMM289	KMM289	427	c_1	M00083,M00873,M00874,M00572	3-oxoacyl-[acyl-carrier-protein] synthase II [EC:2.3.1.179]	None
K00059	KMM289	KMM289	425	c_1	M00083,M00874,M00572	3-oxoacyl-[acyl-carrier protein] reductase [EC:1.1.1.100]	None
K00059	KMM289	KMM289	3069	c_1	M00083,M00874,M00572	3-oxoacyl-[acyl-carrier protein] reductase [EC:1.1.1.100]	None
K00059	KMM289	KMM289	3422	c_1	M00083,M00874,M00572	3-oxoacyl-[acyl-carrier protein] reductase [EC:1.1.1.100]	None
K02372	KMM289	KMM289	1521	c_1	M00083,M00572	3-hydroxyacyl-[acyl-carrier-protein] dehydratase [EC:4.2.1.59]	None
K01716	KMM289	KMM289	466	c_1	M00083	3-hydroxyacyl-[acyl-carrier protein] dehydratase / trans-2-decenoyl-[acyl-carrier protein] isomerase [EC:4.2.1.59 5.3.3.14]	None
K00209	KMM289	KMM289	2481	c_1	M00083	enoyl-[acyl-carrier protein] reductase / trans-2-enoyl-CoA reductase (NAD+) [EC:1.3.1.9 1.3.1.44]	None
K00209	KMM289	KMM289	3925	c_1	M00083	enoyl-[acyl-carrier protein] reductase / trans-2-enoyl-CoA reductase (NAD+) [EC:1.3.1.9 1.3.1.44]	None
K01897	KMM289	KMM289	768	c_1	M00086	long-chain-fatty-acid---CoA ligase [EC:6.2.1.3]	None
K01897	KMM289	KMM289	3194	c_1	M00086	long-chain-fatty-acid---CoA ligase [EC:6.2.1.3]	None
K01897	KMM289	KMM289	557	c_1	M00086	long-chain-fatty-acid---CoA ligase [EC:6.2.1.3]	None
K00249	KMM289	KMM289	276	c_1	M00087,M00036	acyl-CoA dehydrogenase [EC:1.3.8.7]	None
K00249	KMM289	KMM289	277	c_1	M00087,M00036	acyl-CoA dehydrogenase [EC:1.3.8.7]	None
K06445	KMM289	KMM289	3872	c_1	M00087	acyl-CoA dehydrogenase [EC:1.3.99.-]	None
K06445	KMM289	KMM289	3858	c_1	M00087	acyl-CoA dehydrogenase [EC:1.3.99.-]	None
K01825	KMM289	KMM289	2635	c_1	M00087,M00957	3-hydroxyacyl-CoA dehydrogenase / enoyl-CoA hydratase / 3-hydroxybutyryl-CoA epimerase / enoyl-CoA isomerase [EC:1.1.1.35 4.2.1.17 5.1.2.3 5.3.3.8]	None
K01782	KMM289	KMM289	387	c_1	M00087,M00957	3-hydroxyacyl-CoA dehydrogenase / enoyl-CoA hydratase / 3-hydroxybutyryl-CoA epimerase [EC:1.1.1.35 4.2.1.17 5.1.2.3]	None
K00632	KMM289	KMM289	2634	c_1	M00087	acetyl-CoA acyltransferase [EC:2.3.1.16]	None
K02078	KMM289	KMM289	426	c_1	M00885,M00886,M00848	acyl carrier protein	None
K02078	KMM289	KMM289	3434	c_1	M00885,M00886,M00848	acyl carrier protein	None
K02078	KMM289	KMM289	3435	c_1	M00885,M00886,M00848	acyl carrier protein	None
K01640	KMM289	KMM289	272	c_1	M00088,M00036	hydroxymethylglutaryl-CoA lyase [EC:4.1.3.4]	None
K00655	KMM289	KMM289	3436	c_1	M00089	1-acyl-sn-glycerol-3-phosphate acyltransferase [EC:2.3.1.51]	None
K00655	KMM289	KMM289	3076	c_1	M00089	1-acyl-sn-glycerol-3-phosphate acyltransferase [EC:2.3.1.51]	None
K01046	KMM289	KMM289	2281	c_1	M00098	triacylglycerol lipase [EC:3.1.1.3]	None
K01046	KMM289	KMM289	450	c_1	M00098	triacylglycerol lipase [EC:3.1.1.3]	None
K00981	KMM289	KMM289	1527	c_1	M00093	phosphatidate cytidylyltransferase [EC:2.7.7.41]	None
K00998	KMM289	KMM289	2367	c_1	M00093	CDP-diacylglycerol---serine O-phosphatidyltransferase [EC:2.7.8.8]	None
K01613	KMM289	KMM289	3383	c_1	M00093	phosphatidylserine decarboxylase [EC:4.1.1.65]	None
K00764	KMM289	KMM289	125	c_1	M00048	amidophosphoribosyltransferase [EC:2.4.2.14]	None
K01945	KMM289	KMM289	3217	c_1	M00048	phosphoribosylamine---glycine ligase [EC:6.3.4.13]	None
K11175	KMM289	KMM289	1041	c_1	M00048	phosphoribosylglycinamide formyltransferase 1 [EC:2.1.2.2]	None
K08289	KMM289	KMM289	637	c_1	M00048	phosphoribosylglycinamide formyltransferase 2 [EC:6.3.1.21]	None
K01952	KMM289	KMM289	40	c_1	M00048	phosphoribosylformylglycinamidine synthase [EC:6.3.5.3]	None
K01933	KMM289	KMM289	1040	c_1	M00048	phosphoribosylformylglycinamidine cyclo-ligase [EC:6.3.3.1]	None
K01589	KMM289	KMM289	2475	c_1	M00048	5-(carboxyamino)imidazole ribonucleotide synthase [EC:6.3.4.18]	None
K01588	KMM289	KMM289	2474	c_1	M00048	5-(carboxyamino)imidazole ribonucleotide mutase [EC:5.4.99.18]	None
K01588	KMM289	KMM289	2755	c_1	M00048	5-(carboxyamino)imidazole ribonucleotide mutase [EC:5.4.99.18]	None
K01923	KMM289	KMM289	3323	c_1	M00048	phosphoribosylaminoimidazole-succinocarboxamide synthase [EC:6.3.2.6]	None
K01756	KMM289	KMM289	3792	c_1	M00048,M00049	adenylosuccinate lyase [EC:4.3.2.2]	None
K00602	KMM289	KMM289	3216	c_1	M00048	phosphoribosylaminoimidazolecarboxamide formyltransferase / IMP cyclohydrolase [EC:2.1.2.3 3.5.4.10]	None
K01939	KMM289	KMM289	3661	c_1	M00049	adenylosuccinate synthase [EC:6.3.4.4]	None
K00939	KMM289	KMM289	127	c_1	M00049	adenylate kinase [EC:2.7.4.3]	None
K00940	KMM289	KMM289	28	c_1	M00049,M00050,M00053,M00052,M00938	nucleoside-diphosphate kinase [EC:2.7.4.6]	None
K00088	KMM289	KMM289	158	c_1	M00050	IMP dehydrogenase [EC:1.1.1.205]	None
